Sequence,flight_no,airline_name,origin,sta,gate,stand,turnaround_min,aircraft_type,icao_cat,cbp_flag,suggested_stands
1,FR809,Ryanair,Edinburgh,09:00,102,107L,30,B38M,C,FALSE,
2,VY8720,Vueling,Barcelona,09:02,335E,416,50,A320,C,FALSE,
3,IB1881,Iberia Express,Madrid,09:05,335F,417,45,A320,C,FALSE,
4,EI120,Aer Lingus,Orlando,09:12,407,409R,30,A333,E,TRUE,
5,FR7137,Ryanair,Lisbon,09:25,108,109R,30,B738,C,FALSE,
6,AA724,American Airlines,Charlotte,09:35,404,402C,140,B772,E,TRUE,
7,TK1975,Turkish Airlines,Istanbul,09:35,214,202,60,A21N,C,FALSE,
8,BA826,British Airways,London,09:40,335F,418,60,A320,C,FALSE,
9,UA980,United Airlines,Chicago,09:42,417,407C,110,B788,E,TRUE,
10,AA132,American Airlines,Dallas,09:45,426,404C,180,B788,E,TRUE,
11,FR31,Ryanair,London,09:50,118,118R,40,B738,C,FALSE,
12,FR661,Ryanair,Birmingham,09:50,104,108L,40,B38M,C,FALSE,
13,EA3221,Aer Lingus Regional,Glasgow,09:50,333,411L,30,AT76,B,FALSE,
14,LH2516,Lufthansa,Munich,09:55,302,312,60,A21N,C,FALSE,
