Week,P10_Pax,P50_Pax,P90_Pax
1,373920,397787,429610
2,384761,409320,442066
3,392766,417836,451263
4,401938,427594,461801
5,415972,442523,477925
6,414037,440464,475702
7,505383,537642,580653
8,452995,481909,520462
9,499577,531465,573982
10,552352,587608,634617
11,714524,760132,820943
12,611389,650414,702447
13,651669,693265,748726
14,666524,709068,765794
15,779831,829608,895976
16,742694,790100,853308
17,709331,754608,814976
18,764087,812859,877888
19,743297,790742,854001
20,778548,828243,894502
21,776910,826500,892620
22,836237,889614,960783
23,862060,917085,990452
24,916617,975124,1053134
25,943776,1004017,1084338
26,982888,1045626,1129276
27,991590,1054884,1139274
28,1013327,1078007,1164248
29,1043761,1110384,1199215
30,1021998,1087232,1174210
31,1018340,1083341,1170008
32,985207,1048093,1131940
33,1024951,1090374,1177604
34,1004495,1068612,1154101
35,963654,1025164,1107177
36,840018,893636,965127
37,803536,854826,923212
38,771698,820955,886631
39,751092,799035,862957
40,665978,708487,765166
41,633294,673718,727615
42,703187,748072,807917
43,672241,715150,772362
44,489758,521019,562700
45,454548,483562,522247
46,458281,487533,526535
47,472269,502414,542607
48,499751,531650,574182
49,525642,559193,603929
50,713003,758514,819195
51,708742,753981,814300
52,496607,528305,570569
