Week,2023_Pax,2024_Pax,2025_Pax
1,384341,356414,429926
2,364353,376071,435275
3,359171,444574,450469
4,405426,413161,456323
5,418469,469608,469109
6,423292,421294,463498
7,507801,444532,568915
8,438827,479349,500366
9,471060,471060,544459
10,433239,512434,595027
11,547100,549186,786098
12,532923,521696,648899
13,563879,610029,681040
14,643448,671278,697036
15,594749,714793,808536
16,636018,742260,761316
17,649046,727913,705949
18,746613,739257,754615
19,676935,767528,724487
20,821327,770543,752969
21,749172,824554,743363
22,716027,790755,800519
23,871647,889298,817136
24,872322,788513,873240
25,861353,891648,903422
26,899563,978812,940645
27,968799,1004690,947476
28,898306,936351,973066
29,972136,989002,1003080
30,891759,939681,974606
31,995291,975999,989437
32,867666,1011433,966222
33,965536,1031143,1001106
34,939105,1071205,1002887
35,851906,969188,959448
36,917167,857309,838139
37,808031,852141,810373
38,725406,883862,784002
39,822653,777896,771575
40,707899,735370,697273
41,664969,745854,663436
42,621644,674402,752768
43,671142,649946,733177
44,626383,646346,526192
45,535813,562754,493960
46,517377,532006,502999
47,504307,501021,529838
48,480564,479042,568331
49,496883,537910,601730
50,476985,530595,850682
51,466454,479118,846224
52,473708,459410,576446
