week,year,movements,month,season,flight_mov
1,2022,108240,Jan,Winter,3057
2,2022,107540,Jan,Winter,2821
3,2022,112380,Jan,Winter,2881
4,2022,115640,Jan,Winter,2981
5,2022,120380,Feb,Winter,3433
6,2022,119240,Feb,Winter,3295
7,2022,126640,Feb,Winter,3374
8,2022,123380,Feb,Winter,3173
9,2022,133240,Mar,Spring,3719
10,2022,138640,Mar,Spring,3804
11,2022,146380,Mar,Spring,4242
12,2022,150240,Mar,Spring,4378
13,2022,155640,Apr,Spring,4038
14,2022,163380,Apr,Spring,4116
15,2022,171240,Apr,Spring,4668
16,2022,178640,Apr,Spring,4586
17,2022,185380,May,Spring,4930
18,2022,193240,May,Spring,5446
19,2022,199640,May,Spring,5310
20,2022,206380,May,Spring,5149
21,2022,212240,Jun,Summer,5773
22,2022,218640,Jun,Summer,5448
23,2022,223380,Jun,Summer,7074
24,2022,227240,Jun,Summer,5891
25,2022,230640,Jun,Summer,6230
26,2022,232380,Jun,Summer,6418
27,2022,235240,Jul,Summer,6352
28,2022,238640,Jul,Summer,7308
29,2022,241380,Jul,Summer,6635
30,2022,244240,Jul,Summer,6498
31,2022,247640,Jul,Summer,6198
32,2022,248380,Aug,Summer,6948
33,2022,246240,Aug,Summer,7008
34,2022,243640,Aug,Summer,6809
35,2022,239380,Aug,Summer,6175
36,2022,231240,Sep,Autumn,6161
37,2022,222640,Sep,Autumn,6232
38,2022,213380,Sep,Autumn,5627
39,2022,205240,Sep,Autumn,5541
40,2022,195640,Oct,Autumn,5033
41,2022,187380,Oct,Autumn,5299
42,2022,179240,Oct,Autumn,4959
43,2022,171640,Oct,Autumn,4766
44,2022,163380,Nov,Autumn,4840
45,2022,156240,Nov,Autumn,4171
46,2022,149640,Nov,Winter,4003
47,2022,143380,Nov,Winter,3891
48,2022,137240,Dec,Winter,3776
49,2022,133640,Dec,Winter,3947
50,2022,130380,Dec,Winter,3627
51,2022,128240,Dec,Winter,3551
52,2022,126640,Dec,Winter,3603
1,2023,118240,Jan,Winter,3069
2,2023,117540,Jan,Winter,2954
3,2023,123380,Jan,Winter,2864
4,2023,127640,Jan,Winter,3250
5,2023,132380,Feb,Winter,3355
