Season_Code,Week_In_Year,Week_Start,Terminal,Airline,Airline_Name,Flight_Category,Aircraft_Family,Weekly_Movements,Peak_Day_Movements,Avg_Load_Factor_Pct
W24,1,2025-01-06,T1,FR,Ryanair,International Short-Haul,B737,704,135,81%
W24,1,2025-01-06,T1,FR,Ryanair,International Short-Haul,A320,50,8,79%
W24,1,2025-01-06,T1,FR,Ryanair,Domestic,B737,35,7,68%
W24,1,2025-01-06,T2,EI,Aer Lingus,International Short-Haul,A320,241,40,82%
W24,1,2025-01-06,T2,EI,Aer Lingus,Transatlantic CBP,A330,88,15,85%
W24,1,2025-01-06,T2,EI,Aer Lingus,Transatlantic CBP,B787,41,7,86%
W24,1,2025-01-06,T2,EI,Aer Lingus,International Long-Haul,A330,9,2,82%
W24,1,2025-01-06,T2,RE,Aer Lingus Regional,Domestic,ATR72,81,14,67%
W24,1,2025-01-06,T2,RE,Aer Lingus Regional,International Short-Haul,ATR72,56,10,79%
W24,1,2025-01-06,T2,BA,British Airways,International Short-Haul,A320,56,10,78%
W24,1,2025-01-06,T2,BA,British Airways,International Short-Haul,E-Jet,41,7,78%
W24,1,2025-01-06,T1,LH,Lufthansa,International Short-Haul,A320,34,7,81%
W24,1,2025-01-06,T1,AF,Air France,International Short-Haul,A320,29,5,81%
W24,1,2025-01-06,T1,KL,KLM,International Short-Haul,A320,30,5,80%
W24,1,2025-01-06,T1,IB,Iberia,International Short-Haul,A320,18,3,79%
W24,1,2025-01-06,T1,VY,Vueling,International Short-Haul,A320,18,3,80%
W24,1,2025-01-06,T1,OS,Austrian,International Short-Haul,A320,10,2,82%
W24,1,2025-01-06,T1,SK,SAS,International Short-Haul,A320,10,2,82%
W24,1,2025-01-06,T1,AY,Finnair,International Short-Haul,A320,8,2,78%
W24,1,2025-01-06,T1,TK,Turkish Airlines,International Long-Haul,A320,14,2,81%
W24,1,2025-01-06,T1,U2,easyJet,International Short-Haul,A320,40,7,81%
W24,1,2025-01-06,T1,W6,Wizz Air,International Short-Haul,A320,34,6,80%
W24,1,2025-01-06,T2,AA,American Airlines,Transatlantic CBP,B787,21,4,84%
W24,1,2025-01-06,T2,UA,United Airlines,Transatlantic CBP,B787,11,2,85%
W24,1,2025-01-06,T2,DL,Delta Air Lines,Transatlantic CBP,A330,5,1,87%
W24,1,2025-01-06,T2,AC,Air Canada,Transatlantic CBP,B787,6,1,84%
W24,1,2025-01-06,T2,EK,Emirates,International Long-Haul,B777,9,2,83%
W24,1,2025-01-06,T2,EY,Etihad,International Long-Haul,A330,5,1,80%
W24,1,2025-01-06,T1,5X,UPS,Cargo,B767,4,1,nan%
W24,1,2025-01-06,T1,FX,FedEx,Cargo,A320,3,1,nan%
W24,2,2025-01-13,T1,FR,Ryanair,International Short-Haul,B737,753,134,79%
W24,2,2025-01-13,T1,FR,Ryanair,International Short-Haul,A320,51,9,80%
W24,2,2025-01-13,T1,FR,Ryanair,Domestic,B737,39,7,68%
W24,2,2025-01-13,T2,EI,Aer Lingus,International Short-Haul,A320,238,39,78%
W24,2,2025-01-13,T2,EI,Aer Lingus,Transatlantic CBP,A330,83,15,85%
W24,2,2025-01-13,T2,EI,Aer Lingus,Transatlantic CBP,B787,43,8,85%
W24,2,2025-01-13,T2,EI,Aer Lingus,International Long-Haul,A330,10,2,81%
W24,2,2025-01-13,T2,RE,Aer Lingus Regional,Domestic,ATR72,82,14,67%
W24,2,2025-01-13,T2,RE,Aer Lingus Regional,International Short-Haul,ATR72,59,11,81%
W24,2,2025-01-13,T2,BA,British Airways,International Short-Haul,A320,59,11,79%
W24,2,2025-01-13,T2,BA,British Airways,International Short-Haul,E-Jet,43,8,81%
W24,2,2025-01-13,T1,LH,Lufthansa,International Short-Haul,A320,34,6,78%
W24,2,2025-01-13,T1,AF,Air France,International Short-Haul,A320,29,5,81%
W24,2,2025-01-13,T1,KL,KLM,International Short-Haul,A320,31,5,80%
W24,2,2025-01-13,T1,IB,Iberia,International Short-Haul,A320,19,3,79%
W24,2,2025-01-13,T1,VY,Vueling,International Short-Haul,A320,17,3,79%
W24,2,2025-01-13,T1,OS,Austrian,International Short-Haul,A320,10,2,79%
W24,2,2025-01-13,T1,SK,SAS,International Short-Haul,A320,11,2,79%
W24,2,2025-01-13,T1,AY,Finnair,International Short-Haul,A320,8,1,79%
W24,2,2025-01-13,T1,TK,Turkish Airlines,International Long-Haul,A320,14,3,82%
W24,2,2025-01-13,T1,U2,easyJet,International Short-Haul,A320,39,7,82%
W24,2,2025-01-13,T1,W6,Wizz Air,International Short-Haul,A320,34,6,80%
W24,2,2025-01-13,T2,AA,American Airlines,Transatlantic CBP,B787,23,4,87%
W24,2,2025-01-13,T2,UA,United Airlines,Transatlantic CBP,B787,11,2,87%
W24,2,2025-01-13,T2,DL,Delta Air Lines,Transatlantic CBP,A330,5,1,87%
W24,2,2025-01-13,T2,AC,Air Canada,Transatlantic CBP,B787,6,1,87%
W24,2,2025-01-13,T2,EK,Emirates,International Long-Haul,B777,10,2,80%
W24,2,2025-01-13,T2,EY,Etihad,International Long-Haul,A330,5,1,80%
W24,2,2025-01-13,T1,5X,UPS,Cargo,B767,4,1,nan%
W24,2,2025-01-13,T1,FX,FedEx,Cargo,A320,3,1,nan%
W24,3,2025-01-20,T1,FR,Ryanair,International Short-Haul,B737,750,132,82%
W24,3,2025-01-20,T1,FR,Ryanair,International Short-Haul,A320,49,9,79%
W24,3,2025-01-20,T1,FR,Ryanair,Domestic,B737,40,8,67%
W24,3,2025-01-20,T2,EI,Aer Lingus,International Short-Haul,A320,247,46,80%
W24,3,2025-01-20,T2,EI,Aer Lingus,Transatlantic CBP,A330,88,15,84%
W24,3,2025-01-20,T2,EI,Aer Lingus,Transatlantic CBP,B787,46,9,87%
W24,3,2025-01-20,T2,EI,Aer Lingus,International Long-Haul,A330,10,2,83%
W24,3,2025-01-20,T2,RE,Aer Lingus Regional,Domestic,ATR72,90,17,69%
W24,3,2025-01-20,T2,RE,Aer Lingus Regional,International Short-Haul,ATR72,58,10,79%
W24,3,2025-01-20,T2,BA,British Airways,International Short-Haul,A320,60,11,78%
W24,3,2025-01-20,T2,BA,British Airways,International Short-Haul,E-Jet,40,7,78%
W24,3,2025-01-20,T1,LH,Lufthansa,International Short-Haul,A320,32,6,81%
W24,3,2025-01-20,T1,AF,Air France,International Short-Haul,A320,31,5,81%
W24,3,2025-01-20,T1,KL,KLM,International Short-Haul,A320,30,5,81%
W24,3,2025-01-20,T1,IB,Iberia,International Short-Haul,A320,19,4,81%
W24,3,2025-01-20,T1,VY,Vueling,International Short-Haul,A320,18,3,80%
W24,3,2025-01-20,T1,OS,Austrian,International Short-Haul,A320,10,2,82%
W24,3,2025-01-20,T1,SK,SAS,International Short-Haul,A320,10,2,81%
W24,3,2025-01-20,T1,AY,Finnair,International Short-Haul,A320,8,1,80%
W24,3,2025-01-20,T1,TK,Turkish Airlines,International Long-Haul,A320,15,3,83%
W24,3,2025-01-20,T1,U2,easyJet,International Short-Haul,A320,41,7,81%
W24,3,2025-01-20,T1,W6,Wizz Air,International Short-Haul,A320,34,6,82%
W24,3,2025-01-20,T2,AA,American Airlines,Transatlantic CBP,B787,23,4,84%
W24,3,2025-01-20,T2,UA,United Airlines,Transatlantic CBP,B787,12,2,88%
W24,3,2025-01-20,T2,DL,Delta Air Lines,Transatlantic CBP,A330,6,1,85%
W24,3,2025-01-20,T2,AC,Air Canada,Transatlantic CBP,B787,6,1,85%
W24,3,2025-01-20,T2,EK,Emirates,International Long-Haul,B777,10,2,84%
W24,3,2025-01-20,T2,EY,Etihad,International Long-Haul,A330,5,1,81%
W24,3,2025-01-20,T1,5X,UPS,Cargo,B767,5,1,nan%
W24,3,2025-01-20,T1,FX,FedEx,Cargo,A320,3,1,nan%
W24,4,2025-01-27,T1,FR,Ryanair,International Short-Haul,B737,776,144,81%
W24,4,2025-01-27,T1,FR,Ryanair,International Short-Haul,A320,53,9,79%
W24,4,2025-01-27,T1,FR,Ryanair,Domestic,B737,40,7,70%
W24,4,2025-01-27,T2,EI,Aer Lingus,International Short-Haul,A320,257,46,80%
W24,4,2025-01-27,T2,EI,Aer Lingus,Transatlantic CBP,A330,92,17,87%
W24,4,2025-01-27,T2,EI,Aer Lingus,Transatlantic CBP,B787,46,9,86%
W24,4,2025-01-27,T2,EI,Aer Lingus,International Long-Haul,A330,10,2,83%
W24,4,2025-01-27,T2,RE,Aer Lingus Regional,Domestic,ATR72,84,15,68%
