Season_Code,Week_In_Year,Week_Start,Terminal,Airline,Airline_Name,Flight_Category,Aircraft_Family,Weekly_Movements,Peak_Day_Movements,Avg_Load_Factor_Pct
W24,1,2025-01-06,T1,FR,Ryanair,International Short-Haul,B737,707,120,83%
W24,1,2025-01-06,T1,FR,Ryanair,International Short-Haul,A320,50,10,81%
W24,1,2025-01-06,T1,FR,Ryanair,Domestic,B737,38,7,70%
W24,1,2025-01-06,T2,EI,Aer Lingus,International Short-Haul,A320,247,43,80%
W24,1,2025-01-06,T2,EI,Aer Lingus,Transatlantic CBP,A330,87,16,88%
W24,1,2025-01-06,T2,EI,Aer Lingus,Transatlantic CBP,B787,41,7,87%
W24,1,2025-01-06,T2,EI,Aer Lingus,International Long-Haul,A330,9,2,84%
W24,1,2025-01-06,T2,RE,Aer Lingus Regional,Domestic,ATR72,82,14,68%
W24,1,2025-01-06,T2,RE,Aer Lingus Regional,International Short-Haul,ATR72,54,10,83%
W24,1,2025-01-06,T2,BA,British Airways,International Short-Haul,A320,55,10,83%
W24,1,2025-01-06,T2,BA,British Airways,International Short-Haul,E-Jet,42,7,83%
W24,1,2025-01-06,T1,LH,Lufthansa,International Short-Haul,A320,32,6,80%
W24,1,2025-01-06,T1,AF,Air France,International Short-Haul,A320,30,5,80%
W24,1,2025-01-06,T1,KL,KLM,International Short-Haul,A320,29,5,83%
W24,1,2025-01-06,T1,IB,Iberia,International Short-Haul,A320,18,3,83%
W24,1,2025-01-06,T1,VY,Vueling,International Short-Haul,A320,18,3,82%
W24,1,2025-01-06,T1,OS,Austrian,International Short-Haul,A320,10,2,81%
W24,1,2025-01-06,T1,SK,SAS,International Short-Haul,A320,10,2,81%
W24,1,2025-01-06,T1,AY,Finnair,International Short-Haul,A320,7,1,83%
W24,1,2025-01-06,T1,TK,Turkish Airlines,International Long-Haul,A320,15,3,85%
W24,1,2025-01-06,T1,U2,easyJet,International Short-Haul,A320,40,7,82%
W24,1,2025-01-06,T1,W6,Wizz Air,International Short-Haul,A320,35,7,81%
W24,1,2025-01-06,T2,AA,American Airlines,Transatlantic CBP,B787,22,4,88%
W24,1,2025-01-06,T2,UA,United Airlines,Transatlantic CBP,B787,11,2,86%
W24,1,2025-01-06,T2,DL,Delta Air Lines,Transatlantic CBP,A330,6,1,86%
W24,1,2025-01-06,T2,AC,Air Canada,Transatlantic CBP,B787,6,1,89%
W24,1,2025-01-06,T2,EK,Emirates,International Long-Haul,B777,9,2,85%
W24,1,2025-01-06,T2,EY,Etihad,International Long-Haul,A330,5,1,84%
W24,1,2025-01-06,T1,5X,UPS,Cargo,B767,4,1,nan%
W24,1,2025-01-06,T1,FX,FedEx,Cargo,A320,3,1,nan%
W24,2,2025-01-13,T1,FR,Ryanair,International Short-Haul,B737,748,138,80%
W24,2,2025-01-13,T1,FR,Ryanair,International Short-Haul,A320,52,10,82%
W24,2,2025-01-13,T1,FR,Ryanair,Domestic,B737,37,7,70%
W24,2,2025-01-13,T2,EI,Aer Lingus,International Short-Haul,A320,230,40,83%
W24,2,2025-01-13,T2,EI,Aer Lingus,Transatlantic CBP,A330,83,16,88%
W24,2,2025-01-13,T2,EI,Aer Lingus,Transatlantic CBP,B787,44,8,86%
W24,2,2025-01-13,T2,EI,Aer Lingus,International Long-Haul,A330,10,2,85%
W24,2,2025-01-13,T2,RE,Aer Lingus Regional,Domestic,ATR72,85,14,67%
W24,2,2025-01-13,T2,RE,Aer Lingus Regional,International Short-Haul,ATR72,57,11,81%
W24,2,2025-01-13,T2,BA,British Airways,International Short-Haul,A320,56,10,81%
W24,2,2025-01-13,T2,BA,British Airways,International Short-Haul,E-Jet,41,8,81%
W24,2,2025-01-13,T1,LH,Lufthansa,International Short-Haul,A320,33,6,83%
W24,2,2025-01-13,T1,AF,Air France,International Short-Haul,A320,29,5,82%
W24,2,2025-01-13,T1,KL,KLM,International Short-Haul,A320,31,5,81%
W24,2,2025-01-13,T1,IB,Iberia,International Short-Haul,A320,19,3,83%
W24,2,2025-01-13,T1,VY,Vueling,International Short-Haul,A320,18,3,81%
W24,2,2025-01-13,T1,OS,Austrian,International Short-Haul,A320,10,2,81%
W24,2,2025-01-13,T1,SK,SAS,International Short-Haul,A320,10,2,83%
W24,2,2025-01-13,T1,AY,Finnair,International Short-Haul,A320,8,2,81%
W24,2,2025-01-13,T1,TK,Turkish Airlines,International Long-Haul,A320,14,2,83%
W24,2,2025-01-13,T1,U2,easyJet,International Short-Haul,A320,40,7,83%
W24,2,2025-01-13,T1,W6,Wizz Air,International Short-Haul,A320,36,7,80%
W24,2,2025-01-13,T2,AA,American Airlines,Transatlantic CBP,B787,21,3,88%
W24,2,2025-01-13,T2,UA,United Airlines,Transatlantic CBP,B787,11,2,86%
W24,2,2025-01-13,T2,DL,Delta Air Lines,Transatlantic CBP,A330,6,1,87%
W24,2,2025-01-13,T2,AC,Air Canada,Transatlantic CBP,B787,6,1,86%
W24,2,2025-01-13,T2,EK,Emirates,International Long-Haul,B777,9,2,82%
W24,2,2025-01-13,T2,EY,Etihad,International Long-Haul,A330,5,1,82%
W24,2,2025-01-13,T1,5X,UPS,Cargo,B767,4,1,nan%
W24,2,2025-01-13,T1,FX,FedEx,Cargo,A320,3,1,nan%
W24,3,2025-01-20,T1,FR,Ryanair,International Short-Haul,B737,749,134,83%
W24,3,2025-01-20,T1,FR,Ryanair,International Short-Haul,A320,53,9,83%
W24,3,2025-01-20,T1,FR,Ryanair,Domestic,B737,38,7,69%
W24,3,2025-01-20,T2,EI,Aer Lingus,International Short-Haul,A320,255,47,80%
W24,3,2025-01-20,T2,EI,Aer Lingus,Transatlantic CBP,A330,88,17,89%
W24,3,2025-01-20,T2,EI,Aer Lingus,Transatlantic CBP,B787,42,8,87%
W24,3,2025-01-20,T2,EI,Aer Lingus,International Long-Haul,A330,9,2,82%
W24,3,2025-01-20,T2,RE,Aer Lingus Regional,Domestic,ATR72,90,16,71%
W24,3,2025-01-20,T2,RE,Aer Lingus Regional,International Short-Haul,ATR72,55,10,80%
W24,3,2025-01-20,T2,BA,British Airways,International Short-Haul,A320,56,9,80%
W24,3,2025-01-20,T2,BA,British Airways,International Short-Haul,E-Jet,42,7,81%
W24,3,2025-01-20,T1,LH,Lufthansa,International Short-Haul,A320,33,6,83%
W24,3,2025-01-20,T1,AF,Air France,International Short-Haul,A320,31,5,80%
W24,3,2025-01-20,T1,KL,KLM,International Short-Haul,A320,32,5,81%
W24,3,2025-01-20,T1,IB,Iberia,International Short-Haul,A320,19,3,80%
W24,3,2025-01-20,T1,VY,Vueling,International Short-Haul,A320,18,3,82%
W24,3,2025-01-20,T1,OS,Austrian,International Short-Haul,A320,10,2,83%
W24,3,2025-01-20,T1,SK,SAS,International Short-Haul,A320,10,2,82%
W24,3,2025-01-20,T1,AY,Finnair,International Short-Haul,A320,7,1,80%
W24,3,2025-01-20,T1,TK,Turkish Airlines,International Long-Haul,A320,15,3,85%
W24,3,2025-01-20,T1,U2,easyJet,International Short-Haul,A320,40,7,83%
W24,3,2025-01-20,T1,W6,Wizz Air,International Short-Haul,A320,37,7,83%
W24,3,2025-01-20,T2,AA,American Airlines,Transatlantic CBP,B787,23,4,87%
W24,3,2025-01-20,T2,UA,United Airlines,Transatlantic CBP,B787,11,2,87%
W24,3,2025-01-20,T2,DL,Delta Air Lines,Transatlantic CBP,A330,6,1,88%
W24,3,2025-01-20,T2,AC,Air Canada,Transatlantic CBP,B787,5,1,87%
W24,3,2025-01-20,T2,EK,Emirates,International Long-Haul,B777,10,2,84%
W24,3,2025-01-20,T2,EY,Etihad,International Long-Haul,A330,5,1,82%
W24,3,2025-01-20,T1,5X,UPS,Cargo,B767,4,1,nan%
W24,3,2025-01-20,T1,FX,FedEx,Cargo,A320,3,1,nan%
W24,4,2025-01-27,T1,FR,Ryanair,International Short-Haul,B737,782,150,81%
W24,4,2025-01-27,T1,FR,Ryanair,International Short-Haul,A320,50,8,81%
W24,4,2025-01-27,T1,FR,Ryanair,Domestic,B737,40,7,71%
W24,4,2025-01-27,T2,EI,Aer Lingus,International Short-Haul,A320,237,46,81%
W24,4,2025-01-27,T2,EI,Aer Lingus,Transatlantic CBP,A330,92,16,88%
W24,4,2025-01-27,T2,EI,Aer Lingus,Transatlantic CBP,B787,43,7,89%
W24,4,2025-01-27,T2,EI,Aer Lingus,International Long-Haul,A330,10,2,84%
W24,4,2025-01-27,T2,RE,Aer Lingus Regional,Domestic,ATR72,91,15,69%
W24,4,2025-01-27,T2,RE,Aer Lingus Regional,International Short-Haul,ATR72,57,10,81%
W24,4,2025-01-27,T2,BA,British Airways,International Short-Haul,A320,56,10,83%
W24,4,2025-01-27,T2,BA,British Airways,International Short-Haul,E-Jet,42,7,80%
W24,4,2025-01-27,T1,LH,Lufthansa,International Short-Haul,A320,33,6,82%
W24,4,2025-01-27,T1,AF,Air France,International Short-Haul,A320,32,6,81%
W24,4,2025-01-27,T1,KL,KLM,International Short-Haul,A320,32,5,81%
W24,4,2025-01-27,T1,IB,Iberia,International Short-Haul,A320,20,3,80%
W24,4,2025-01-27,T1,VY,Vueling,International Short-Haul,A320,19,3,82%
W24,4,2025-01-27,T1,OS,Austrian,International Short-Haul,A320,10,2,81%
W24,4,2025-01-27,T1,SK,SAS,International Short-Haul,A320,10,2,81%
W24,4,2025-01-27,T1,AY,Finnair,International Short-Haul,A320,8,1,80%
W24,4,2025-01-27,T1,TK,Turkish Airlines,International Long-Haul,A320,15,3,85%
W24,4,2025-01-27,T1,U2,easyJet,International Short-Haul,A320,40,7,80%
W24,4,2025-01-27,T1,W6,Wizz Air,International Short-Haul,A320,35,7,80%
W24,4,2025-01-27,T2,AA,American Airlines,Transatlantic CBP,B787,24,4,89%
W24,4,2025-01-27,T2,UA,United Airlines,Transatlantic CBP,B787,11,2,88%
W24,4,2025-01-27,T2,DL,Delta Air Lines,Transatlantic CBP,A330,6,1,86%
W24,4,2025-01-27,T2,AC,Air Canada,Transatlantic CBP,B787,6,1,87%
W24,4,2025-01-27,T2,EK,Emirates,International Long-Haul,B777,10,2,85%
W24,4,2025-01-27,T2,EY,Etihad,International Long-Haul,A330,5,1,85%
W24,4,2025-01-27,T1,5X,UPS,Cargo,B767,4,1,nan%
W24,4,2025-01-27,T1,FX,FedEx,Cargo,A320,3,1,nan%
W24,5,2025-02-03,T1,FR,Ryanair,International Short-Haul,B737,789,150,81%
W24,5,2025-02-03,T1,FR,Ryanair,International Short-Haul,A320,53,10,81%
W24,5,2025-02-03,T1,FR,Ryanair,Domestic,B737,40,7,71%
W24,5,2025-02-03,T2,EI,Aer Lingus,International Short-Haul,A320,256,48,83%
W24,5,2025-02-03,T2,EI,Aer Lingus,Transatlantic CBP,A330,91,16,89%
W24,5,2025-02-03,T2,EI,Aer Lingus,Transatlantic CBP,B787,45,8,89%
W24,5,2025-02-03,T2,EI,Aer Lingus,International Long-Haul,A330,10,2,85%
W24,5,2025-02-03,T2,RE,Aer Lingus Regional,Domestic,ATR72,94,17,68%
W24,5,2025-02-03,T2,RE,Aer Lingus Regional,International Short-Haul,ATR72,60,11,81%
W24,5,2025-02-03,T2,BA,British Airways,International Short-Haul,A320,62,11,82%
W24,5,2025-02-03,T2,BA,British Airways,International Short-Haul,E-Jet,42,8,82%
W24,5,2025-02-03,T1,LH,Lufthansa,International Short-Haul,A320,34,6,83%
W24,5,2025-02-03,T1,AF,Air France,International Short-Haul,A320,32,5,84%
W24,5,2025-02-03,T1,KL,KLM,International Short-Haul,A320,33,6,81%
W24,5,2025-02-03,T1,IB,Iberia,International Short-Haul,A320,20,4,82%
W24,5,2025-02-03,T1,VY,Vueling,International Short-Haul,A320,19,3,81%
W24,5,2025-02-03,T1,OS,Austrian,International Short-Haul,A320,10,2,80%
W24,5,2025-02-03,T1,SK,SAS,International Short-Haul,A320,10,2,81%
W24,5,2025-02-03,T1,AY,Finnair,International Short-Haul,A320,8,2,82%
W24,5,2025-02-03,T1,TK,Turkish Airlines,International Long-Haul,A320,15,3,84%
W24,5,2025-02-03,T1,U2,easyJet,International Short-Haul,A320,45,8,84%
W24,5,2025-02-03,T1,W6,Wizz Air,International Short-Haul,A320,37,6,82%
W24,5,2025-02-03,T2,AA,American Airlines,Transatlantic CBP,B787,22,4,86%
W24,5,2025-02-03,T2,UA,United Airlines,Transatlantic CBP,B787,12,2,88%
W24,5,2025-02-03,T2,DL,Delta Air Lines,Transatlantic CBP,A330,6,1,89%
W24,5,2025-02-03,T2,AC,Air Canada,Transatlantic CBP,B787,6,1,86%
W24,5,2025-02-03,T2,EK,Emirates,International Long-Haul,B777,11,2,82%
W24,5,2025-02-03,T2,EY,Etihad,International Long-Haul,A330,5,1,85%
W24,5,2025-02-03,T1,5X,UPS,Cargo,B767,5,1,nan%
W24,5,2025-02-03,T1,FX,FedEx,Cargo,A320,3,1,nan%
W24,6,2025-02-10,T1,FR,Ryanair,International Short-Haul,B737,746,129,82%
W24,6,2025-02-10,T1,FR,Ryanair,International Short-Haul,A320,56,10,82%
W24,6,2025-02-10,T1,FR,Ryanair,Domestic,B737,42,8,71%
W24,6,2025-02-10,T2,EI,Aer Lingus,International Short-Haul,A320,259,44,80%
W24,6,2025-02-10,T2,EI,Aer Lingus,Transatlantic CBP,A330,96,16,87%
W24,6,2025-02-10,T2,EI,Aer Lingus,Transatlantic CBP,B787,47,8,88%
W24,6,2025-02-10,T2,EI,Aer Lingus,International Long-Haul,A330,10,2,84%
W24,6,2025-02-10,T2,RE,Aer Lingus Regional,Domestic,ATR72,97,18,71%
W24,6,2025-02-10,T2,RE,Aer Lingus Regional,International Short-Haul,ATR72,63,11,81%
W24,6,2025-02-10,T2,BA,British Airways,International Short-Haul,A320,62,11,82%
W24,6,2025-02-10,T2,BA,British Airways,International Short-Haul,E-Jet,44,8,81%
W24,6,2025-02-10,T1,LH,Lufthansa,International Short-Haul,A320,35,6,83%
W24,6,2025-02-10,T1,AF,Air France,International Short-Haul,A320,32,5,82%
W24,6,2025-02-10,T1,KL,KLM,International Short-Haul,A320,33,6,81%
W24,6,2025-02-10,T1,IB,Iberia,International Short-Haul,A320,21,4,83%
W24,6,2025-02-10,T1,VY,Vueling,International Short-Haul,A320,20,4,81%
W24,6,2025-02-10,T1,OS,Austrian,International Short-Haul,A320,11,2,82%
W24,6,2025-02-10,T1,SK,SAS,International Short-Haul,A320,11,2,80%
W24,6,2025-02-10,T1,AY,Finnair,International Short-Haul,A320,8,1,82%
W24,6,2025-02-10,T1,TK,Turkish Airlines,International Long-Haul,A320,15,3,84%
W24,6,2025-02-10,T1,U2,easyJet,International Short-Haul,A320,45,8,82%
W24,6,2025-02-10,T1,W6,Wizz Air,International Short-Haul,A320,37,6,80%
W24,6,2025-02-10,T2,AA,American Airlines,Transatlantic CBP,B787,25,4,87%
W24,6,2025-02-10,T2,UA,United Airlines,Transatlantic CBP,B787,12,2,86%
W24,6,2025-02-10,T2,DL,Delta Air Lines,Transatlantic CBP,A330,6,1,86%
W24,6,2025-02-10,T2,AC,Air Canada,Transatlantic CBP,B787,6,1,86%
W24,6,2025-02-10,T2,EK,Emirates,International Long-Haul,B777,10,2,85%
W24,6,2025-02-10,T2,EY,Etihad,International Long-Haul,A330,5,1,82%
W24,6,2025-02-10,T1,5X,UPS,Cargo,B767,5,1,nan%
W24,6,2025-02-10,T1,FX,FedEx,Cargo,A320,3,1,nan%
W24,7,2025-02-17,T1,FR,Ryanair,International Short-Haul,B737,926,155,82%
W24,7,2025-02-17,T1,FR,Ryanair,International Short-Haul,A320,63,12,85%
W24,7,2025-02-17,T1,FR,Ryanair,Domestic,B737,51,10,71%
W24,7,2025-02-17,T2,EI,Aer Lingus,International Short-Haul,A320,318,55,83%
W24,7,2025-02-17,T2,EI,Aer Lingus,Transatlantic CBP,A330,112,20,90%
W24,7,2025-02-17,T2,EI,Aer Lingus,Transatlantic CBP,B787,55,10,90%
W24,7,2025-02-17,T2,EI,Aer Lingus,International Long-Haul,A330,12,2,86%
W24,7,2025-02-17,T2,RE,Aer Lingus Regional,Domestic,ATR72,113,20,70%
W24,7,2025-02-17,T2,RE,Aer Lingus Regional,International Short-Haul,ATR72,73,14,83%
W24,7,2025-02-17,T2,BA,British Airways,International Short-Haul,A320,74,12,81%
W24,7,2025-02-17,T2,BA,British Airways,International Short-Haul,E-Jet,56,10,83%
W24,7,2025-02-17,T1,LH,Lufthansa,International Short-Haul,A320,41,8,84%
