Season_Code,Week_In_Year,Week_Start,Gate_ID,Terminal,Pier,Weekly_Movements,Avg_Daily_Occupancy_Hrs,Headroom_Hrs,Primary_Traffic
W24,1,2025-01-06,101,T1,Pier 1,64,4.6,12.4,International Short-Haul
W24,1,2025-01-06,102,T1,Pier 1,67,4.8,12.2,International Short-Haul
W24,1,2025-01-06,103,T1,Pier 1,64,4.6,12.4,International Short-Haul
W24,1,2025-01-06,104,T1,Pier 1,63,4.5,12.5,International Short-Haul
W24,1,2025-01-06,105,T1,Pier 1,73,5.2,11.8,International Short-Haul
W24,1,2025-01-06,106,T1,Pier 1,69,4.9,12.1,International Short-Haul
W24,1,2025-01-06,107,T1,Pier 1,70,5,12,International Short-Haul
W24,1,2025-01-06,108,T1,Pier 1,67,4.8,12.2,International Short-Haul
W24,1,2025-01-06,109,T1,Pier 1,73,5.2,11.8,International Short-Haul
W24,1,2025-01-06,110,T1,Pier 1,69,4.9,12.1,International Short-Haul
W24,1,2025-01-06,111,T1,Pier 1,70,5,12,International Short-Haul
W24,1,2025-01-06,112,T1,Pier 1,66,4.7,12.3,International Short-Haul
W24,1,2025-01-06,113,T1,Pier 1,73,5.2,11.8,International Short-Haul
W24,1,2025-01-06,114,T1,Pier 1,71,5.1,11.9,International Short-Haul
W24,1,2025-01-06,115,T1,Pier 1,71,5.1,11.9,International Short-Haul
W24,1,2025-01-06,116,T1,Pier 1,64,4.6,12.4,International Short-Haul
W24,1,2025-01-06,117,T1,Pier 1,66,4.7,12.3,International Short-Haul
W24,1,2025-01-06,118,T1,Pier 1,66,4.7,12.3,International Short-Haul
W24,1,2025-01-06,119,T1,Pier 1,66,4.7,12.3,International Short-Haul
W24,1,2025-01-06,201,T1,Pier 2,55,4.3,12.7,International Short-Haul
W24,1,2025-01-06,202,T1,Pier 2,48,3.8,13.2,International Short-Haul
W24,1,2025-01-06,203,T1,Pier 2,48,3.8,13.2,International Short-Haul
W24,1,2025-01-06,204,T1,Pier 2,51,4,13,International Short-Haul
W24,1,2025-01-06,205,T1,Pier 2,50,3.9,13.1,International Short-Haul
W24,1,2025-01-06,206,T1,Pier 2,50,3.9,13.1,International Short-Haul
W24,1,2025-01-06,207,T1,Pier 2,55,4.3,12.7,International Short-Haul
W24,1,2025-01-06,208,T1,Pier 2,52,4.1,12.9,International Short-Haul
W24,1,2025-01-06,209,T1,Pier 2,48,3.8,13.2,International Short-Haul
W24,1,2025-01-06,210,T1,Pier 2,52,4.1,12.9,International Short-Haul
W24,1,2025-01-06,211,T1,Pier 2,51,4,13,International Short-Haul
W24,1,2025-01-06,212,T1,Pier 2,50,3.9,13.1,International Short-Haul
W24,1,2025-01-06,213,T1,Pier 2,53,4.2,12.8,International Short-Haul
W24,1,2025-01-06,214,T1,Pier 2,53,4.2,12.8,International Short-Haul
W24,1,2025-01-06,301,T1,Pier 3,44,3.8,13.2,International Short-Haul
W24,1,2025-01-06,302,T1,Pier 3,44,3.8,13.2,International Short-Haul
W24,1,2025-01-06,303,T1,Pier 3,40,3.4,13.6,International Short-Haul
W24,1,2025-01-06,304,T1,Pier 3,47,4,13,International Short-Haul
W24,1,2025-01-06,305,T1,Pier 3,46,3.9,13.1,International Short-Haul
W24,1,2025-01-06,306,T1,Pier 3,46,3.9,13.1,International Short-Haul
W24,1,2025-01-06,307,T1,Pier 3,40,3.4,13.6,International Short-Haul
W24,1,2025-01-06,308,T1,Pier 3,47,4,13,International Short-Haul
W24,1,2025-01-06,309,T1,Pier 3,46,3.9,13.1,International Short-Haul
W24,1,2025-01-06,310,T1,Pier 3,46,3.9,13.1,International Short-Haul
W24,1,2025-01-06,311,T1,Pier 3,41,3.5,13.5,International Short-Haul
W24,1,2025-01-06,312,T1,Pier 3,46,3.9,13.1,International Short-Haul
W24,1,2025-01-06,313,T1,Pier 3,47,4,13,International Short-Haul
W24,1,2025-01-06,314,T1,Pier 3,44,3.8,13.2,International Short-Haul
W24,1,2025-01-06,315,T2,Pier 3,44,3.8,13.2,Transatlantic CBP
W24,1,2025-01-06,316,T2,Pier 3,47,4,13,Transatlantic CBP
W24,1,2025-01-06,317,T2,Pier 3,43,3.7,13.3,Transatlantic CBP
W24,1,2025-01-06,318,T2,Pier 3,44,3.8,13.2,Transatlantic CBP
W24,1,2025-01-06,319,T2,Pier 3,43,3.7,13.3,Transatlantic CBP
W24,1,2025-01-06,320,T2,Pier 3,47,4,13,Transatlantic CBP
W24,1,2025-01-06,321,T2,Pier 3,41,3.5,13.5,Transatlantic CBP
