date,sta,flight_no,origin,origin_code,airline_name,aircraft_type,tail_reg,icao_cat,cbp_flag,actual_landing,gate
31-Mar-26,08:00,FR2972,Kaunas (KUN),KUN,Ryanair,B38M,SP-RZU,C,FALSE,07:35,108
31-Mar-26,08:05,BA4460,London (LCY),LCY,British Airways,E190,G-LCYO,C,FALSE,07:40,423
31-Mar-26,08:05,LH976,Frankfurt (FRA),FRA,Lufthansa (Star Alliance Livery),A320,D-AIZH,C,FALSE,07:49,116
31-Mar-26,08:15,AC800,Toronto (YYZ),YYZ,Air Canada,B789,C-FGFZ,E,TRUE,07:59,413
31-Mar-26,08:15,EI86,Cleveland (CLE),CLE,Aer Lingus,A21N,EI-LRE,C,TRUE,07:52,401
31-Mar-26,08:15,EI88,Minneapolis (MSP),MSP,Aer Lingus,A21N,EI-XLR,C,TRUE,08:50,402
31-Mar-26,08:20,AF1616,Paris (CDG),CDG,Air France,BCS3,F-HPNZ,C,FALSE,08:06,115
31-Mar-26,08:20,KL1135,Amsterdam (AMS),AMS,KLM,E295,PH-NXG,C,FALSE,08:03,118
31-Mar-26,08:25,EI82,Indianapolis (IND),IND,Aer Lingus,A21N,EI-XLU,C,FALSE,08:27,403
31-Mar-26,08:25,EI136,Boston (BOS),BOS,Aer Lingus,A332,EI-DAA,E,TRUE,07:24,404
31-Mar-26,08:30,FR553,Manchester (MAN),MAN,Ryanair,B38M,EI-IHY,C,FALSE,08:15,207
31-Mar-26,08:45,DL176,Atlanta (ATL),ATL,Delta Air Lines,B764,N839MH,D,TRUE,08:23,403
31-Mar-26,08:50,EI106,New York (JFK),JFK,Aer Lingus,A21N,EI-XLW,C,TRUE,08:44,403
31-Mar-26,08:50,EA3401,Donegal (CFN),CFN,Aer Lingus Regional,AT76,EI-GZV,B,FALSE,08:37,421
31-Mar-26,08:55,EI118,Washington (IAD),IAD,Aer Lingus,A21N,EI-LRD,C,TRUE,08:19,415
31-Mar-26,08:55,AY1381,Helsinki (HEL),HEL,Finnair,E190,OH-LKI,C,FALSE,08:42,409
31-Mar-26,08:55,FR447,Liverpool (LPL),LPL,Ryanair,B738,EI-GSK,C,FALSE,08:38,203
31-Mar-26,09:00,EI151,London (LHR),LHR,Aer Lingus,A20N,EI-NSE,C,FALSE,08:40,403
31-Mar-26,09:05,IB1881,Madrid (MAD),MAD,Iberia Express,A320,EC-LVQ,C,FALSE,08:47,110
31-Mar-26,09:10,FR6186,Palma de Mallorca (PMI),PMI,Lauda Europe,A320,9H-LMC,C,FALSE,08:54,201
31-Mar-26,09:15,DL44,New York (JFK),JFK,Delta Air Lines,B763,N178DZ,D,TRUE,08:30,404
31-Mar-26,09:15,EI203,Manchester (MAN),MAN,Aer Lingus,A320,EI-DEJ,C,FALSE,09:19,408
31-Mar-26,09:15,FR7389,Lisbon (LIS),LIS,Ryanair,B38M,EI-IKK,C,FALSE,09:09,209
31-Mar-26,09:20,EI120,Orlando (MCO),MCO,Aer Lingus,A333,EI-EIM,E,TRUE,09:01,411
31-Mar-26,09:20,EI263,Birmingham (BHX),BHX,Aer Lingus,A320,EI-DEL,C,FALSE,09:37,416
31-Mar-26,09:20,FR275,Glasgow (GLA),GLA,Ryanair,B738,9H-QAD,C,FALSE,09:17,201
31-Mar-26,09:20,VY8720,Barcelona (BCN),BCN,Vueling,A320,EC-MJC,C,FALSE,09:03,111
31-Mar-26,09:25,FR505,Bristol (BRS),BRS,Ryanair,B738,9H-QCT,C,FALSE,09:28,207
31-Mar-26,09:35,AA724,Charlotte (CLT),CLT,American Airlines,B772,N756AM,E,TRUE,09:06,417
31-Mar-26,09:35,FR157,Leeds (LBA),LBA,Ryanair,B38M,EI-IFV,C,FALSE,09:24,202
31-Mar-26,09:35,FR661,Birmingham (BHX),BHX,Ryanair,B38M,EI-IFS,C,FALSE,09:21,206
31-Mar-26,09:35,TK1975,Istanbul (IST),IST,Turkish Airlines,A21N,TC-LTD,C,FALSE,09:12,114
31-Mar-26,09:40,BA826,London (LHR),LHR,British Airways,A320,G-EUYJ,C,FALSE,10:03,423
31-Mar-26,09:40,EI3281,Bristol (BRS),BRS,Aer Lingus Regional,AT76,EI-HPK,B,FALSE,,410
31-Mar-26,09:45,AA132,Dallas (DFW),DFW,American Airlines,B788,N874AN,E,TRUE,09:30,416
31-Mar-26,09:45,UA980,Chicago (ORD),ORD,United Airlines,B788,N20904,E,TRUE,09:15,418
31-Mar-26,09:50,EI401,Rome (FCO),FCO,Aer Lingus,320,,C,FALSE,,406
31-Mar-26,09:50,EA3251,Edinburgh (EDI),EDI,Aer Lingus Regional,AT76,EI-GPN,B,FALSE,09:35,421
31-Mar-26,09:50,EA3391,Leeds (LBA),LBA,Aer Lingus Regional,AT76,EI-FAT,B,FALSE,09:40,419
31-Mar-26,09:50,FR31,London (STN),STN,Ryanair,B738,EI-EKI,C,FALSE,09:33,208
31-Mar-26,09:55,LH2516,Munich (MUC),MUC,Lufthansa,A21N,D-AIEJ,C,FALSE,09:41,119
31-Mar-26,10:00,WS34,Toronto (YYZ),YYZ,WestJet,B38M,C-GCAM,C,TRUE,09:26,R101
31-Mar-26,10:00,EA3351,Newcastle (NCL),NCL,Aer Lingus Regional,AT76,EI-HPJ,B,FALSE,09:53,419
31-Mar-26,10:00,EY45,Abu Dhabi (AUH),AUH,Etihad Airways,B789,A6-BNA,E,FALSE,10:00,R101
31-Mar-26,10:00,FR1949,Luxembourg (LUX),LUX,Ryanair,B738,EI-GXK,C,FALSE,09:58,202
31-Mar-26,10:10,FR535,Nottingham (EMA),EMA,Ryanair,B738,9H-QBJ,C,FALSE,09:46,209
31-Mar-26,10:12,EG981,Manchester (MAN),MAN,Aer Lingus,A333,G-EILA,E,FALSE,10:12,415
31-Mar-26,10:15,EI153,London (LHR),LHR,Aer Lingus,A20N,EI-NSG,C,FALSE,09:51,416
31-Mar-26,10:15,FR113,London (LGW),LGW,Ryanair,B738,9H-QDI,C,FALSE,10:05,209
31-Mar-26,10:15,,Geneva (GVA),GVA,NetJets,C68A,CS-LUD,C,FALSE,10:31,R110
31-Mar-26,10:20,EA3321,Manchester (MAN),MAN,Aer Lingus Regional,AT76,EI-GPO,B,FALSE,10:28,419
31-Mar-26,10:25,FR555,Manchester (MAN),MAN,Ryanair,B38M,EI-HEZ,C,FALSE,10:08,202
31-Mar-26,10:25,FR1983,Biarritz (BIQ),BIQ,Ryanair,B738,EI-EVJ,C,FALSE,09:55,208
31-Mar-26,10:25,KL1137,Amsterdam (AMS),AMS,KLM,B738,PH-BXA,C,FALSE,10:18,119
31-Mar-26,10:35,EI124,Chicago (ORD),ORD,Aer Lingus,A333,EI-DUZ,E,TRUE,10:09,404
31-Mar-26,10:35,BA4462,London (LCY),LCY,British Airways,E190,G-LCYP,C,FALSE,10:22,425
31-Mar-26,10:40,UA228,Washington (IAD),IAD,United Airlines,B752,N19117,D,TRUE,10:24,418
31-Mar-26,10:45,DL154,Boston (BOS),BOS,Delta Air Lines,B763,N173DZ,D,TRUE,10:19,403
31-Mar-26,10:45,FR658,Brussels (BRU),BRU,Ryanair,B38M,EI-IHN,C,FALSE,10:59,203
31-Mar-26,10:55,EA3551,Edinburgh (EDI),EDI,Aer Lingus Regional,AT76,EI-HNA,B,FALSE,10:45,418
31-Mar-26,10:55,FR421,Amsterdam (AMS),AMS,Ryanair,B738,9H-QEK,C,FALSE,10:55,210
31-Mar-26,10:55,FR7033,Faro (FAO),FAO,Ryanair,B738,9H-QDL,C,FALSE,10:42,205
31-Mar-26,10:55,SK535,Stockholm (ARN),ARN,SAS,A20N,SE-ROE,C,FALSE,10:38,R101
31-Mar-26,11:00,EA3301,Southampton (SOU),SOU,Aer Lingus Regional,AT76,EI-HDK,B,FALSE,10:35,419
31-Mar-26,11:00,FR331,London (LTN),LTN,Ryanair,B738,EI-EBY,C,FALSE,10:33,204
31-Mar-26,11:00,GR686,Guernsey (GCI),GCI,Aurigny,AT76,G-OGFC,B,FALSE,10:39,R101
31-Mar-26,11:05,EI631,Brussels (BRU),BRU,Aer Lingus,A320,EI-GAL,C,FALSE,11:18,416
31-Mar-26,11:05,EW9394,Dusseldorf (DUS),DUS,Eurowings,A321,D-AIDO,C,FALSE,11:08,R101
31-Mar-26,11:05,FR115,London (LGW),LGW,Ryanair,B738,EI-DPP,C,FALSE,11:03,208
31-Mar-26,11:10,UA317,New York (EWR),EWR,United Airlines,B752,N14115,D,TRUE,10:14,419
31-Mar-26,11:10,FR3619,Turin (TRN),TRN,Ryanair,B738,SP-RKH,C,FALSE,11:06,204
31-Mar-26,11:15,EI521,Paris (CDG),CDG,Aer Lingus,A21N,EI-LRF,C,FALSE,10:57,410
31-Mar-26,11:15,FR4845,Milan (BGY),BGY,Ryanair,B38M,9H-VVJ,C,FALSE,11:15,203
31-Mar-26,11:20,EI155,London (LHR),LHR,Aer Lingus,A320,EI-FNJ,C,FALSE,11:11,411
31-Mar-26,11:20,FR612,Kerry (KIR),KIR,Ryanair,B738,EI-GJT,C,FALSE,10:53,204
31-Mar-26,11:25,EI693,Dusseldorf (DUS),DUS,Aer Lingus,A320,EI-DEM,C,FALSE,11:13,411
31-Mar-26,11:30,EI681,Geneva (GVA),GVA,Aer Lingus,A20N,EI-NSH,C,FALSE,11:27,413
31-Mar-26,11:30,XQ532,Antalya (AYT),AYT,SunExpress (Crystal Palace Livery),B38M,TC-SMF,C,FALSE,10:50,R101
