date,sta,flight_no,origin,origin_code,airline_name,aircraft_type,tail_reg,icao_cat,cbp_flag,actual_landing,gate
31-Mar-26,08:00,FR2972,Kaunas (KUN),KUN,Ryanair,B38M,SP-RZU,C,FALSE,,
31-Mar-26,08:05,BA4460,London (LCY),LCY,British Airways,E190,G-LCYO,C,FALSE,,
31-Mar-26,08:05,LH976,Frankfurt (FRA),FRA,Lufthansa (Star Alliance Livery),A320,D-AIZH,C,FALSE,,
31-Mar-26,08:15,AC800,Toronto (YYZ),YYZ,Air Canada,B789,C-FGFZ,E,TRUE,,
31-Mar-26,08:15,EI86,Cleveland (CLE),CLE,Aer Lingus,A21N,EI-LRE,C,TRUE,,
31-Mar-26,08:15,EI88,Minneapolis (MSP),MSP,Aer Lingus,A21N,EI-XLR,C,TRUE,,
31-Mar-26,08:20,AF1616,Paris (CDG),CDG,Air France,BCS3,F-HPNZ,C,FALSE,,
31-Mar-26,08:20,KL1135,Amsterdam (AMS),AMS,KLM,E295,PH-NXG,C,FALSE,,
31-Mar-26,08:25,EI82,Indianapolis (IND),IND,Aer Lingus,A21N,EI-XLU,C,FALSE,,
31-Mar-26,08:25,EI136,Boston (BOS),BOS,Aer Lingus,A332,EI-DAA,E,TRUE,,
31-Mar-26,08:30,FR553,Manchester (MAN),MAN,Ryanair,B38M,EI-IHY,C,FALSE,,
31-Mar-26,08:45,DL176,Atlanta (ATL),ATL,Delta Air Lines,B764,N839MH,D,TRUE,,
31-Mar-26,08:50,EI106,New York (JFK),JFK,Aer Lingus,A21N,EI-XLW,C,TRUE,,
31-Mar-26,08:50,EA3401,Donegal (CFN),CFN,Aer Lingus Regional,AT76,EI-GZV,B,FALSE,,
31-Mar-26,08:55,EI118,Washington (IAD),IAD,Aer Lingus,A21N,EI-LRD,C,TRUE,,
31-Mar-26,08:55,AY1381,Helsinki (HEL),HEL,Finnair,E190,OH-LKI,C,FALSE,,
31-Mar-26,08:55,FR447,Liverpool (LPL),LPL,Ryanair,B738,EI-GSK,C,FALSE,,
31-Mar-26,09:00,EI151,London (LHR),LHR,Aer Lingus,A20N,EI-NSE,C,FALSE,,
31-Mar-26,09:05,IB1881,Madrid (MAD),MAD,Iberia Express,A320,EC-LVQ,C,FALSE,,
31-Mar-26,09:10,FR6186,Palma de Mallorca (PMI),PMI,Lauda Europe,A320,9H-LMC,C,FALSE,,
31-Mar-26,09:15,DL44,New York (JFK),JFK,Delta Air Lines,B763,N178DZ,D,TRUE,,
31-Mar-26,09:15,EI203,Manchester (MAN),MAN,Aer Lingus,A320,EI-DEJ,C,FALSE,,
31-Mar-26,09:15,FR7389,Lisbon (LIS),LIS,Ryanair,B38M,EI-IKK,C,FALSE,,
31-Mar-26,09:20,EI120,Orlando (MCO),MCO,Aer Lingus,A333,EI-EIM,E,TRUE,,
31-Mar-26,09:20,EI263,Birmingham (BHX),BHX,Aer Lingus,A320,EI-DEL,C,FALSE,,
31-Mar-26,09:20,FR275,Glasgow (GLA),GLA,Ryanair,B738,9H-QAD,C,FALSE,,
31-Mar-26,09:20,VY8720,Barcelona (BCN),BCN,Vueling,A320,EC-MJC,C,FALSE,,
31-Mar-26,09:25,FR505,Bristol (BRS),BRS,Ryanair,B738,9H-QCT,C,FALSE,,
31-Mar-26,09:35,AA724,Charlotte (CLT),CLT,American Airlines,B772,N756AM,E,TRUE,,
31-Mar-26,09:35,FR157,Leeds (LBA),LBA,Ryanair,B38M,EI-IFV,C,FALSE,,
31-Mar-26,09:35,FR661,Birmingham (BHX),BHX,Ryanair,B38M,EI-IFS,C,FALSE,,
31-Mar-26,09:35,TK1975,Istanbul (IST),IST,Turkish Airlines,A21N,TC-LTD,C,FALSE,,
31-Mar-26,09:40,BA826,London (LHR),LHR,British Airways,A320,G-EUYJ,C,FALSE,,
31-Mar-26,09:40,EI3281,Bristol (BRS),BRS,Aer Lingus Regional,AT76,EI-HPK,B,FALSE,,
31-Mar-26,09:45,AA132,Dallas (DFW),DFW,American Airlines,B788,N874AN,E,TRUE,,
31-Mar-26,09:45,UA980,Chicago (ORD),ORD,United Airlines,B788,N20904,E,TRUE,,
31-Mar-26,09:50,EI401,Rome (FCO),FCO,Aer Lingus,320,,C,FALSE,,
31-Mar-26,09:50,EA3251,Edinburgh (EDI),EDI,Aer Lingus Regional,AT76,EI-GPN,B,FALSE,,
