date,sta,flight_no,origin,origin_code,airline_name,aircraft_type,tail_reg,tail_reg_updated,match_strategy,matched_dep_flight,matched_dep_tail,matched_turnaround_min,icao_cat,cbp_flag,gate
31-Mar-26,08:00,FR2972,Kaunas�(KUN),KUN,Ryanair,B38M,SP-RZU,SP-RZU,exact_tail_25min_5hr,FR2971,SP-RZU,25,C,FALSE,
31-Mar-26,08:05,BA4460,London�(LCY),LCY,British Airways,E190,G-LCYO,G-LCYO,exact_tail_25min_5hr,BA4463,G-LCYO,40,C,FALSE,
31-Mar-26,08:05,LH976,Frankfurt�(FRA),FRA,Lufthansa (Star Alliance Livery),A320,D-AIZH,D-AIZH,exact_tail_25min_5hr,LH977,D-AIZH,45,C,FALSE,
31-Mar-26,08:15,AC800,Toronto�(YYZ),YYZ,Air Canada,B789,C-FGFZ,C-FGFZ,exact_tail_25min_5hr,AC801,C-FGFZ,95,E,FALSE,
31-Mar-26,08:15,EI86,Cleveland�(CLE),CLE,Aer Lingus,A21N,EI-LRE,EI-LRE,exact_tail_25min_5hr,EI204,EI-LRE,90,C,TRUE,
31-Mar-26,08:15,EI88,Minneapolis�(MSP),MSP,Aer Lingus,A21N,EI-XLR,EI-LRG,airline+aircraft+time,EI524,EI-LRG,90,C,TRUE,
31-Mar-26,08:20,AF1616,Paris�(CDG),CDG,Air France,BCS3,F-HPNZ,F-HPNZ,exact_tail_25min_5hr,AF1617,F-HPNZ,55,C,FALSE,
31-Mar-26,08:20,KL1135,Amsterdam�(AMS),AMS,KLM,E295,PH-NXG,PH-NXG,exact_tail_25min_5hr,KL1136,PH-NXG,35,C,FALSE,
31-Mar-26,08:25,EI82,Indianapolis�(IND),IND,Aer Lingus,A21N,EI-XLU,EI-XLU,exact_tail_25min_5hr,EI604,EI-XLU,90,C,FALSE,
31-Mar-26,08:25,EI136,Boston�(BOS),BOS,Aer Lingus,A332,EI-DAA,EI-DEI,,EI392,EI-DEI,95,E,TRUE,
31-Mar-26,08:30,FR553,Manchester�(MAN),MAN,Ryanair,B38M,EI-IHY,EI-IHY,exact_tail_25min_5hr,FR5405,EI-IHY,40,C,FALSE,
