date,std,flight_no,destination,destination_code,airline_name,aircraft_type,tail_reg,icao_cat,actual_departure,gate
31-Mar-26,08:00,N/A,Katowice (KTW),KTW,Ryanair,CL35,M-ASBA,C,,
31-Mar-26,08:15,FR96,Prague (PRG),PRG,Ryanair,B738,SP-RSD,C,,
31-Mar-26,08:20,FR7008,Vienna (VIE),VIE,Lauda Europe,A320,9H-LOR,C,,
31-Mar-26,08:25,FR2971,Kaunas (KUN),KUN,Ryanair,B38M,SP-RZU,C,,
31-Mar-26,08:30,FR272,London (STN),STN,Ryanair,B738,9H-QEU,C,,
31-Mar-26,08:35,BA825,London (LHR),LHR,British Airways,A320,G-EUYT,C,,
31-Mar-26,08:37,FX5050,Indianapolis (IND),IND,FedEx,B763,N125FE,D,,
31-Mar-26,08:40,EI156,London (LHR),LHR,Aer Lingus,A20N,EI-NSA,C,,
31-Mar-26,08:45,BA4463,London (LCY),LCY,British Airways,E190,G-LCYO,C,,
31-Mar-26,08:50,LH977,Frankfurt (FRA),FRA,Lufthansa (Star Alliance Livery),A320,D-AIZH,C,,
31-Mar-26,08:50,UA311,Washington (IAD),IAD,United Airlines,B752,N18112,D,,
31-Mar-26,08:55,FR7046,Malaga (AGP),AGP,Malta Air,B38M,9H-VUB,C,,
31-Mar-26,08:55,KL1136,Amsterdam (AMS),AMS,KLM,E295,PH-NXG,C,,
31-Mar-26,08:58,FX5202,Liege (LGG),LGG,FedEx,B763,N107FE,D,,
31-Mar-26,09:05,FR611,Kerry (KIR),KIR,Ryanair,B738,EI-GJT,C,,
31-Mar-26,09:10,FR5405,Murcia (RMU),RMU,Ryanair,B38M,EI-IHY,C,,
31-Mar-26,09:15,AF1617,Paris (CDG),CDG,Air France,BCS3,F-HPNZ,C,,
31-Mar-26,09:20,FR446,Liverpool (LPL),LPL,Ryanair,B738,EI-GSK,C,,
31-Mar-26,09:25,EA3554,Edinburgh (EDI),EDI,Aer Lingus Regional,AT76,EI-GZV,B,,
31-Mar-26,09:25,N/A,Weeze (NRN),NRN,Ryanair,B738,9H-QAL,C,,
31-Mar-26,09:30,AA133,Dallas (DFW),DFW,American Airlines,B788,N872AN,E,,
31-Mar-26,09:30,UA22,New York (EWR),EWR,United Airlines,B772,N77012,E,,
31-Mar-26,09:35,FR6187,Palma de Mallorca (PMI),PMI,Lauda Europe,A320,9H-LMC,C,,
31-Mar-26,09:40,AY1382,Helsinki (HEL),HEL,Finnair,E190,OH-LKI,C,,
31-Mar-26,09:40,EI158,London (LHR),LHR,Aer Lingus,A20N,EI-NSE,C,,
31-Mar-26,09:45,EI204,Manchester (MAN),MAN,Aer Lingus,A21N,EI-LRE,C,,
31-Mar-26,09:45,EI524,Paris (CDG),CDG,Aer Lingus,A21N,EI-LRG,C,,
31-Mar-26,09:45,FR1111,London (LGW),LGW,Ryanair,B738,9H-QAD,C,,
