Flight_No,Type,ETA,ETD,Aircraft_Type,ICAO_Cat,Airline,Airline_Code,CBP_Required,Preferred_Stand,Terminal
FR101,TURN,07:00,07:40,B738,C,Ryanair,RYR,False,101,T1
FR102,TURN,07:55,08:30,B738,C,Ryanair,RYR,False,101,T1
FR103,TURN,07:05,07:50,B738,C,Ryanair,RYR,False,102,T1
EZY01,TURN,07:10,07:35,A320,C,easyJet,EZY,False,103,T1
FR104,TURN,07:55,08:25,B738,C,Ryanair,RYR,False,103,T1
RYR05,DEP,,07:20,B738,C,Ryanair,RYR,False,104,T1
EZY02,ARR,07:35,,A320,C,easyJet,EZY,False,104,T1
TK001,TURN,07:15,08:00,A330,E,Turkish Airlines,THY,False,105,T1
EI101,TURN,07:00,07:30,A330,E,Aer Lingus,EIN,True,106,T2
EI102,TURN,07:50,08:30,A320,C,Aer Lingus,EIN,True,106,T2
EI103,TURN,07:05,07:50,A319,C,Aer Lingus,EIN,False,107,T2
BA001,TURN,08:00,08:30,B787,E,British Airways,BAW,False,107,T2
DL001,TURN,07:00,07:35,A330,E,Delta,DAL,False,108C,T2
EK001,TURN,07:45,08:30,B777,E,Emirates,UAE,False,108C,T2
QR001,ARR,07:40,,A350,E,Qatar Airways,QTR,False,108C,T2
LH001,TURN,07:10,07:55,A320,C,Lufthansa,DLH,False,108R,T2
AF001,ARR,08:05,,A320,C,Air France,AFR,False,108R,T2
KL001,TURN,07:00,07:45,B738,C,KLM,KLM,False,110,T2
SK001,TURN,07:50,08:25,A320,C,SAS,SAS,False,110,T2
TP001,TURN,07:20,08:00,A320,C,TAP Air Portugal,TAP,False,106,T2
IB001,TURN,07:10,07:55,A320,C,Iberia,IBE,False,103,T1
OS001,ARR,08:15,,B738,C,Austrian Airlines,AUA,False,107,T2
FR105,ARR,08:20,,B738,C,Ryanair,RYR,False,101,T1
UA001,TURN,07:45,08:40,B787,E,United Airlines,UAL,True,107,T2
