stand_id,pier,terminal,icao_cat_max,has_airbridge,cbp_eligible,mars_type,mars_family_id,stand_type
101,1,T1,C,False,False,None,,Contact
102,1,T1,C,False,False,None,,Contact
103,1,T1,C,False,False,None,,Contact
104,1,T1,C,False,False,None,,Contact
105,1,T1,C,False,False,None,,Contact
106,1,T1,C,False,False,None,,Contact
112,1,T1,C,False,False,None,,Contact
113,1,T1,C,False,False,None,,Contact
114,1,T1,C,False,False,None,,Contact
115,1,T1,C,False,False,None,,Contact
116,1,T1,C,False,False,None,,Contact
117,1,T1,C,False,False,None,,Contact
118,1,T1,C,False,False,None,,Contact
121,1,T1,C,False,False,None,,Contact
122,1,T1,C,False,False,None,,Contact
123,1,T1,C,False,False,None,,Contact
124,1,T1,C,False,False,None,,Contact
125,1,T1,C,False,False,None,,Contact
126,1,T1,C,False,False,None,,Contact
127,1,T1,C,False,False,None,,Contact
107C,1,T1,E,False,False,Centre,FAM_P1_107,Contact
107L,1,T1,C,False,False,Left,FAM_P1_107,Contact
107R,1,T1,C,False,False,Right,FAM_P1_107,Contact
108C,1,T1,E,False,False,Centre,FAM_P1_108,Contact
108L,1,T1,C,False,False,Left,FAM_P1_108,Contact
108R,1,T1,C,False,False,Right,FAM_P1_108,Contact
109C,1,T1,E,False,False,Centre,FAM_P1_109,Contact
109L,1,T1,C,False,False,Left,FAM_P1_109,Contact
109R,1,T1,C,False,False,Right,FAM_P1_109,Contact
110C,1,T1,E,False,False,Centre,FAM_P1_110,Contact
110L,1,T1,C,False,False,Left,FAM_P1_110,Contact
110R,1,T1,C,False,False,Right,FAM_P1_110,Contact
111C,1,T1,E,False,False,Centre,FAM_P1_111,Contact
111L,1,T1,C,False,False,Left,FAM_P1_111,Contact
111R,1,T1,C,False,False,Right,FAM_P1_111,Contact
119C,1,T1,E,False,False,Centre,FAM_P1_119,Contact
119L,1,T1,C,False,False,Left,FAM_P1_119,Contact
119R,1,T1,C,False,False,Right,FAM_P1_119,Contact
120C,1,T1,E,False,False,Centre,FAM_P1_120,Contact
120L,1,T1,C,False,False,Left,FAM_P1_120,Contact
120R,1,T1,C,False,False,Right,FAM_P1_120,Contact
200,2,T1,C,False,False,None,,Contact
201,2,T1,C,False,False,None,,Contact
202,2,T1,C,False,False,None,,Contact
204,2,T1,C,False,False,None,,Contact
206,2,T1,C,False,False,None,,Contact
207,2,T1,C,False,False,None,,Contact
208,2,T1,C,False,False,None,,Contact
209,2,T1,C,False,False,None,,Contact
210,2,T1,C,False,False,None,,Contact
211,2,T1,C,False,False,None,,Contact
212,2,T1,C,False,False,None,,Contact
213,2,T1,C,False,False,None,,Contact
214,2,T1,C,False,False,None,,Contact
215,2,T1,C,False,False,None,,Contact
216,2,T1,C,False,False,None,,Contact
217,2,T1,C,False,False,None,,Contact
218,2,T1,C,False,False,None,,Contact
219,2,T1,C,False,False,None,,Contact
220,2,T1,C,False,False,None,,Contact
221,2,T1,C,False,False,None,,Contact
222,2,T1,C,False,False,None,,Contact
223,2,T1,C,False,False,None,,Contact
203C,2,T1,E,False,False,Centre,FAM_P2_203,Contact
203L,2,T1,C,False,False,Left,FAM_P2_203,Contact
203R,2,T1,C,False,False,Right,FAM_P2_203,Contact
205C,2,T1,E,False,False,Centre,FAM_P2_205,Contact
205L,2,T1,C,False,False,Left,FAM_P2_205,Contact
205R,2,T1,C,False,False,Right,FAM_P2_205,Contact
301,3,Shared,C,True,False,None,,Contact
302,3,Shared,C,True,False,None,,Contact
303,3,Shared,C,True,False,None,,Contact
304,3,Shared,C,True,False,None,,Contact
305,3,Shared,C,True,False,None,,Contact
306,3,Shared,C,True,False,None,,Contact
307,3,Shared,C,True,False,None,,Contact
308,3,Shared,C,True,False,None,,Contact
309,3,Shared,C,True,False,None,,Contact
310,3,Shared,C,True,False,None,,Contact
314,3,Shared,E,True,False,Centre,FAM_P3_314,Contact
316,3,Shared,E,True,False,Centre,FAM_P3_316,Contact
