stand_id,pier,terminal,icao_cat_max,has_airbridge,cbp_eligible,mars_condition,mars_family_id,stand_type
107C,Pier 1,T1,F,NO,NO,"STANDS 107L, 107R VACANT",MARS-107,CONTACT
107L,Pier 1,T1,D,NO,NO,,MARS-107,CONTACT
107R,Pier 1,T1,D,NO,NO,,MARS-107,CONTACT
108C,Pier 1,T1,F,NO,NO,"STANDS 108L, 108R VACANT",MARS-108,CONTACT
108L,Pier 1,T1,D,NO,NO,,MARS-108,CONTACT
108R,Pier 1,T1,D,NO,NO,,MARS-108,CONTACT
109C,Pier 1,T1,F,NO,NO,"STANDS 109L, 109R VACANT",MARS-109,CONTACT
109L,Pier 1,T1,D,NO,NO,,MARS-109,CONTACT
109R,Pier 1,T1,D,NO,NO,,MARS-109,CONTACT
110C,Pier 1,T1,F,NO,NO,"STANDS 110L, 110R VACANT",MARS-110,CONTACT
110L,Pier 1,T1,D,NO,NO,,MARS-110,CONTACT
110R,Pier 1,T1,D,NO,NO,,MARS-110,CONTACT
111C,Pier 1,T1,F,NO,NO,"STANDS 111L, 111R VACANT",MARS-111,CONTACT
111L,Pier 1,T1,D,NO,NO,,MARS-111,CONTACT
111R,Pier 1,T1,D,NO,NO,,MARS-111,CONTACT
120C,Pier 1,T1,E,NO,NO,"STANDS 120L, 120R VACANT",MARS-120,CONTACT
120L,Pier 1,T1,C,NO,NO,,MARS-120,CONTACT
120R,Pier 1,T1,C,NO,NO,,MARS-120,CONTACT
121,Pier 1,T1,D,NO,NO,,,CONTACT
121L,Pier 1,T1,D,NO,NO,,,CONTACT
122,Pier 1,T1,D,NO,NO,,,CONTACT
123,Pier 1,T1,D,NO,NO,,,CONTACT
124,Pier 1,T1,D,NO,NO,,,CONTACT
125,Pier 1,T1,D,NO,NO,,,CONTACT
126,Pier 1,T1,D,NO,NO,,,CONTACT
127,Pier 1,T1,D,NO,NO,,,CONTACT
200C,Pier 2,T1,D,NO,NO,,,CONTACT
200L,Pier 2,T1,D,NO,NO,,,CONTACT
200R,Pier 2,T1,D,NO,NO,,,CONTACT
200T,Pier 2,T1,D,NO,NO,,,CONTACT
201,Pier 2,T1,D,NO,NO,,,CONTACT
202,Pier 2,T1,D,NO,NO,,,CONTACT
203C,Pier 2,T1,E,NO,NO,"STANDS 203L, 203R VACANT",MARS-203,CONTACT
203L,Pier 2,T1,D,NO,NO,,MARS-203,CONTACT
203R,Pier 2,T1,D,NO,NO,,MARS-203,CONTACT
205L,Pier 2,T1,D,NO,NO,,MARS-205,CONTACT
205R,Pier 2,T1,C,NO,NO,,MARS-205,CONTACT
205T,Pier 2,T1,E,NO,NO,"STANDS 205L, 205R VACANT",MARS-205,CONTACT
206T,Pier 2,T1,C,NO,NO,,,CONTACT
207T,Pier 2,T1,C,NO,NO,,,CONTACT
311C,Pier 3,T1/T2 Shared,D,YES,NO,"STAND 311L, 311R VACANT",MARS-311,CONTACT
311L,Pier 3,T1/T2 Shared,C,NO,NO,,MARS-311,CONTACT
311R,Pier 3,T1/T2 Shared,D,YES,NO,,MARS-311,CONTACT
312,Pier 3,T1/T2 Shared,D,YES,NO,,,CONTACT
313C,Pier 3,T1/T2 Shared,F,YES,NO,"STAND 313L, 313R VACANT",MARS-313,CONTACT
313L,Pier 3,T1/T2 Shared,D,NO,NO,,MARS-313,CONTACT
313R,Pier 3,T1/T2 Shared,C,NO,NO,,MARS-313,CONTACT
314,Pier 3,T1/T2 Shared,E,YES,NO,,,CONTACT
315C,Pier 3,T1/T2 Shared,F,YES,NO,"STAND 315L, 315R VACANT",MARS-315,CONTACT
315L,Pier 3,T1/T2 Shared,C,NO,NO,,MARS-315,CONTACT
315R,Pier 3,T1/T2 Shared,C,NO,NO,,MARS-315,CONTACT
316,Pier 3,T1/T2 Shared,F,YES,NO,STAND 317 VACANT,MARS-316,CONTACT
317,Pier 3,T1/T2 Shared,E,YES,NO,STAND 316 VACANT,MARS-317,CONTACT
318C,Pier 3,T1/T2 Shared,E,YES,NO,"STANDS 318L, 318R VACANT",MARS-318,CONTACT
318L,Pier 3,T1/T2 Shared,D,YES,NO,,MARS-318,CONTACT
318R,Pier 3,T1/T2 Shared,D,YES,NO,,MARS-318,CONTACT
400C,Pier 4,T2,F,YES,NO,"STANDS 400L, 400R VACANT",MARS-400,CONTACT
400L,Pier 4,T2,D,YES,NO,,MARS-400,CONTACT
400R,Pier 4,T2,D,YES,NO,,MARS-400,CONTACT
401C,Pier 4,T2,F,YES,YES,"STANDS 401L, 401R VACANT",MARS-401,CONTACT
401L,Pier 4,T2,D,YES,YES,,MARS-401,CONTACT
401R,Pier 4,T2,D,YES,NO,,MARS-401,CONTACT
402C,Pier 4,T2,F,YES,YES,"STANDS 402L, 402R VACANT",MARS-402,CONTACT
402L,Pier 4,T2,D,YES,YES,,MARS-402,CONTACT
402R,Pier 4,T2,D,YES,NO,,MARS-402,CONTACT
403C,Pier 4,T2,F,YES,YES,"STANDS 403L, 403R VACANT",MARS-403,CONTACT
403L,Pier 4,T2,D,YES,YES,,MARS-403,CONTACT
403R,Pier 4,T2,D,YES,NO,,MARS-403,CONTACT
404C,Pier 4,T2,F,YES,NO,"STANDS 404L, 404R VACANT",MARS-404,CONTACT
404L,Pier 4,T2,D,YES,NO,,MARS-404,CONTACT
404R,Pier 4,T2,C,YES,NO,,MARS-404,CONTACT
405T,Pier 4,T2,D,YES,NO,,,CONTACT
406A,Pier 4,T2,D,YES,NO,,MARS-406,CONTACT
406B,Pier 4,T2,D,YES,YES,,MARS-406,CONTACT
406C,Pier 4,T2,F,YES,YES,"STANDS 406A, 406B VACANT",MARS-406,CONTACT
407C,Pier 4,T2,F,YES,YES,"STANDS 407L, 407R VACANT",MARS-407,CONTACT
407L,Pier 4,T2,C,YES,NO,,MARS-407,CONTACT
407R,Pier 4,T2,D,YES,YES,,MARS-407,CONTACT
408C,Pier 4,T2,F,YES,YES,"STANDS 408L, 408R VACANT",MARS-408,CONTACT
408L,Pier 4,T2,D,YES,NO,,MARS-408,CONTACT
408R,Pier 4,T2,D,YES,YES,,MARS-408,CONTACT
409C,Pier 4,T2,E,YES,YES,"STANDS 409L, 409R VACANT",MARS-409,CONTACT
409L,Pier 4,T2,D,YES,YES,,MARS-409,CONTACT
409R,Pier 4,T2,D,YES,NO,,MARS-409,CONTACT
105L,Central Apron,T1,C,NO,NO,,,REMOTE
