Timestamp,T1_checkin,T1_security,T1_cbp,T1_lounge,T1_boarding,T1_immigration,T1_baggage,T2_checkin,T2_security,T2_cbp,T2_lounge,T2_boarding,T2_immigration,T2_baggage
2026-03-31 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-31 05:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-31 05:30:00,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-31 05:45:00,12.0,5.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-31 06:00:00,43.0,12.0,0.0,17.0,0.0,0.0,0.0,9.0,4.0,0.0,4.0,0.0,0.0,0.0
2026-03-31 06:15:00,103.0,43.0,5.0,60.0,0.0,0.0,0.0,12.0,9.0,0.0,13.0,0.0,0.0,0.0
2026-03-31 06:30:00,218.0,103.0,11.0,163.0,0.0,0.0,0.0,43.0,12.0,4.0,25.0,0.0,0.0,0.0
2026-03-31 06:45:00,325.0,218.0,16.0,381.0,0.0,0.0,0.0,106.0,43.0,9.0,69.0,0.0,0.0,0.0
2026-03-31 07:00:00,400.0,325.0,22.0,706.0,0.0,0.0,0.0,187.0,106.0,12.0,174.0,0.0,0.0,0.0
2026-03-31 07:15:00,384.0,400.0,38.0,1047.0,59.0,0.0,0.0,249.0,187.0,28.0,361.0,0.0,0.0,0.0
2026-03-31 07:30:00,425.0,384.0,49.0,1252.0,179.0,0.0,0.0,189.0,249.0,38.0,610.0,0.0,0.0,0.0
2026-03-31 07:45:00,441.0,425.0,58.0,1314.0,363.0,0.0,0.0,226.0,189.0,62.0,770.0,29.0,0.0,0.0
2026-03-31 08:00:00,438.0,441.0,58.0,1413.0,342.0,0.0,0.0,416.0,226.0,77.0,756.0,239.0,0.0,0.0
2026-03-31 08:15:00,406.0,438.0,40.0,1421.0,431.0,0.0,0.0,585.0,416.0,86.0,939.0,233.0,0.0,0.0
2026-03-31 08:30:00,444.0,406.0,40.0,1309.0,518.0,0.0,65.0,642.0,585.0,82.0,1488.0,36.0,79.0,14.0
2026-03-31 08:45:00,457.0,444.0,40.0,1283.0,470.0,0.0,116.0,372.0,642.0,103.0,2006.0,125.0,117.0,212.0
2026-03-31 09:00:00,432.0,457.0,22.0,1282.0,457.0,0.0,175.0,257.0,372.0,106.0,1900.0,478.0,169.0,282.0
2026-03-31 09:15:00,509.0,432.0,6.0,1234.0,480.0,0.0,195.0,253.0,257.0,101.0,1202.0,954.0,169.0,391.0
2026-03-31 09:30:00,486.0,509.0,24.0,1306.0,438.0,44.0,188.0,218.0,253.0,100.0,844.0,610.0,144.0,496.0
2026-03-31 09:45:00,536.0,486.0,34.0,1495.0,297.0,104.0,283.0,273.0,218.0,96.0,852.0,210.0,99.0,461.0
2026-03-31 10:00:00,705.0,536.0,46.0,1484.0,547.0,224.0,408.0,254.0,273.0,120.0,920.0,205.0,51.0,417.0
2026-03-31 10:15:00,718.0,705.0,65.0,1797.0,393.0,224.0,594.0,265.0,254.0,148.0,1082.0,92.0,121.0,398.0
2026-03-31 10:30:00,578.0,718.0,88.0,2232.0,283.0,185.0,677.0,288.0,265.0,142.0,947.0,399.0,130.0,387.0
2026-03-31 10:45:00,429.0,578.0,102.0,2286.0,524.0,124.0,682.0,341.0,288.0,112.0,923.0,312.0,183.0,347.0
2026-03-31 11:00:00,399.0,429.0,97.0,1851.0,863.0,7.0,577.0,435.0,341.0,115.0,975.0,288.0,276.0,372.0
2026-03-31 11:15:00,524.0,399.0,57.0,1388.0,861.0,0.0,451.0,493.0,435.0,114.0,1173.0,238.0,222.0,397.0
2026-03-31 11:30:00,568.0,524.0,36.0,1331.0,581.0,0.0,506.0,517.0,493.0,143.0,1543.0,124.0,184.0,353.0
2026-03-31 11:45:00,565.0,568.0,41.0,1593.0,305.0,0.0,486.0,430.0,517.0,180.0,1812.0,248.0,135.0,367.0
2026-03-31 12:00:00,387.0,565.0,36.0,1674.0,484.0,0.0,460.0,452.0,430.0,195.0,1786.0,456.0,105.0,389.0
2026-03-31 12:15:00,227.0,387.0,11.0,1487.0,575.0,0.0,444.0,501.0,452.0,185.0,1764.0,474.0,136.0,379.0
2026-03-31 12:30:00,382.0,227.0,0.0,1012.0,702.0,57.0,354.0,527.0,501.0,178.0,1761.0,503.0,133.0,448.0
2026-03-31 12:45:00,612.0,382.0,0.0,807.0,587.0,57.0,464.0,611.0,527.0,149.0,1657.0,631.0,133.0,468.0
2026-03-31 13:00:00,699.0,612.0,0.0,1217.0,202.0,57.0,592.0,553.0,611.0,116.0,1741.0,526.0,71.0,420.0
2026-03-31 13:15:00,627.0,699.0,0.0,1794.0,122.0,57.0,595.0,332.0,553.0,109.0,1953.0,341.0,27.0,431.0
2026-03-31 13:30:00,538.0,627.0,0.0,1998.0,423.0,4.0,626.0,340.0,332.0,104.0,1611.0,674.0,0.0,385.0
2026-03-31 13:45:00,464.0,538.0,0.0,1849.0,687.0,0.0,522.0,395.0,340.0,71.0,1123.0,828.0,0.0,298.0
2026-03-31 14:00:00,402.0,464.0,0.0,1572.0,740.0,0.0,447.0,337.0,395.0,48.0,1134.0,384.0,0.0,349.0
2026-03-31 14:15:00,262.0,402.0,0.0,1324.0,650.0,0.0,524.0,472.0,337.0,43.0,1098.0,373.0,0.0,311.0
2026-03-31 14:30:00,228.0,262.0,0.0,1086.0,500.0,0.0,517.0,499.0,472.0,67.0,1062.0,508.0,0.0,329.0
2026-03-31 14:45:00,350.0,228.0,0.0,771.0,543.0,0.0,432.0,405.0,499.0,67.0,1422.0,139.0,66.0,355.0
2026-03-31 15:00:00,506.0,350.0,0.0,719.0,402.0,0.0,452.0,390.0,405.0,93.0,1470.0,357.0,133.0,389.0
2026-03-31 15:15:00,530.0,506.0,0.0,1065.0,161.0,0.0,415.0,235.0,390.0,125.0,1389.0,471.0,133.0,514.0
2026-03-31 15:30:00,459.0,530.0,0.0,1472.0,123.0,0.0,397.0,124.0,235.0,158.0,1343.0,281.0,133.0,462.0
2026-03-31 15:45:00,398.0,459.0,0.0,1485.0,445.0,0.0,384.0,54.0,124.0,182.0,1100.0,367.0,71.0,404.0
2026-03-31 16:00:00,488.0,398.0,0.0,1253.0,630.0,0.0,394.0,107.0,54.0,170.0,620.0,533.0,4.0,365.0
2026-03-31 16:15:00,532.0,488.0,0.0,1229.0,513.0,0.0,394.0,145.0,107.0,80.0,210.0,517.0,0.0,209.0
2026-03-31 16:30:00,716.0,532.0,0.0,1355.0,405.0,0.0,350.0,161.0,145.0,0.0,324.0,31.0,0.0,172.0
2026-03-31 16:45:00,673.0,716.0,0.0,1672.0,399.0,3.0,420.0,163.0,161.0,0.0,424.0,61.0,0.0,151.0
2026-03-31 17:00:00,504.0,673.0,0.0,2035.0,310.0,47.0,443.0,272.0,163.0,0.0,443.0,144.0,0.0,99.0
2026-03-31 17:15:00,616.0,504.0,0.0,1842.0,698.0,47.0,444.0,312.0,272.0,0.0,550.0,165.0,0.0,115.0
