Airline,slope,r_squared,p_value,W1_4_avg,W49_52_avg,peak_weekly,total_2025,implied_growth_pct
Ryanair,11.79,0.093,0.0279,1671.0,2578.0,3552.0,135461.0,54.2
Aer Lingus,5.68,0.096,0.0255,769.0,1222.0,1667.0,63330.0,58.8
Aer Lingus Regional,2.17,0.099,0.0227,284.0,466.0,628.0,23790.0,63.7
British Airways,1.41,0.088,0.0327,196.0,307.0,431.0,16310.0,56.4
easyJet,0.59,0.092,0.0288,81.0,129.0,176.0,6795.0,59.3
Wizz Air,0.51,0.09,0.0311,70.0,110.0,153.0,5816.0,56.9
Lufthansa,0.45,0.083,0.0386,66.0,104.0,140.0,5438.0,58.0
Air France,0.44,0.092,0.0285,60.0,96.0,132.0,5027.0,59.3
KLM,0.41,0.083,0.0384,62.0,95.0,134.0,5012.0,54.3
American Airlines,0.32,0.092,0.0284,45.0,70.0,96.0,3662.0,57.0
Iberia,0.26,0.088,0.0327,38.0,60.0,82.0,3135.0,56.6
Vueling,0.27,0.104,0.0198,36.0,58.0,77.0,2947.0,60.4
Turkish Airlines,0.22,0.106,0.0184,29.0,46.0,62.0,2408.0,59.0
United Airlines,0.16,0.099,0.0233,22.0,35.0,48.0,1840.0,58.4
SAS,0.15,0.095,0.0261,20.0,32.0,46.0,1690.0,57.3
Austrian,0.15,0.096,0.0251,20.0,32.0,44.0,1668.0,58.8
Emirates,0.15,0.101,0.0214,19.0,31.0,43.0,1619.0,59.7
Finnair,0.11,0.09,0.0306,16.0,24.0,33.0,1265.0,58.1
Delta Air Lines,0.07,0.074,0.0515,12.0,18.0,24.0,919.0,54.3
Air Canada,0.08,0.09,0.0308,12.0,17.0,24.0,917.0,50.0
Etihad,0.07,0.087,0.0334,10.0,16.0,22.0,810.0,55.0
UPS,0.07,0.086,0.0354,8.0,14.0,19.0,732.0,72.7
FedEx,0.05,0.106,0.0183,6.0,10.0,14.0,515.0,66.7
