Week_In_Year,cbp_total,week_start_2026
1.0,345.0,2026-01-05
2.0,342.0,2026-01-12
3.0,356.0,2026-01-19
4.0,364.0,2026-01-26
5.0,374.0,2026-02-02
6.0,381.0,2026-02-09
7.0,456.0,2026-02-16
8.0,398.0,2026-02-23
9.0,428.0,2026-03-02
10.0,466.0,2026-03-09
11.0,610.0,2026-03-16
12.0,497.0,2026-03-23
13.0,532.0,2026-03-30
14.0,537.0,2026-04-06
15.0,628.0,2026-04-13
16.0,576.0,2026-04-20
17.0,544.0,2026-04-27
18.0,583.0,2026-05-04
19.0,554.0,2026-05-11
20.0,567.0,2026-05-18
21.0,583.0,2026-05-25
22.0,613.0,2026-06-01
23.0,623.0,2026-06-08
24.0,651.0,2026-06-15
25.0,689.0,2026-06-22
26.0,689.0,2026-06-29
27.0,712.0,2026-07-06
28.0,732.0,2026-07-13
29.0,744.0,2026-07-20
30.0,739.0,2026-07-27
31.0,739.0,2026-08-03
32.0,726.0,2026-08-10
33.0,751.0,2026-08-17
34.0,745.0,2026-08-24
35.0,714.0,2026-08-31
36.0,640.0,2026-09-07
37.0,605.0,2026-09-14
38.0,612.0,2026-09-21
39.0,598.0,2026-09-28
40.0,537.0,2026-10-05
41.0,520.0,2026-10-12
42.0,586.0,2026-10-19
43.0,560.0,2026-10-26
44.0,411.0,2026-11-02
45.0,407.0,2026-11-09
46.0,400.0,2026-11-16
47.0,421.0,2026-11-23
48.0,445.0,2026-11-30
49.0,470.0,2026-12-07
50.0,658.0,2026-12-14
51.0,657.0,2026-12-21
52.0,453.0,2026-12-28
