Week_In_Year,dep,arr,total,seasonal_index,week_start_2025,week_start_2026,month_2026,fc_flat,fc_mod,fc_strong,avg_occ,gate_util,demand_norm,gate_norm,compound_risk,risk_band,month_label
1.0,1722.0,1711.0,3433.0,0.6132336674613371,2025-01-06,2026-01-05,Jan,3433.0,3605.0,3776.0,4.101538461538462,24.12669683257919,0.0,0.0,0.0,Low,Jan
2.0,1756.0,1773.0,3529.0,0.6303820601430407,2025-01-13,2026-01-12,Jan,3529.0,3705.0,3882.0,4.182307692307693,24.601809954751133,0.023043686989918388,0.01671176189718282,2.0,Low,Jan
3.0,1796.0,1796.0,3592.0,0.6416356928404087,2025-01-20,2026-01-19,Jan,3592.0,3772.0,3951.0,4.222307692307692,24.837104072398187,0.03816610657705233,0.024988063027216092,3.2,Low,Jan
4.0,1823.0,1835.0,3658.0,0.6534252128090798,2025-01-27,2026-01-26,Jan,3658.0,3841.0,4024.0,4.262307692307693,25.072398190045252,0.05400864138262122,0.03326436415724974,4.4,Low,Jan
5.0,1875.0,1886.0,3761.0,0.6718240091238243,2025-02-03,2026-02-02,Feb,3761.0,3949.0,4137.0,4.416923076923077,25.981900452488695,0.07873259721555449,0.06525545121757138,7.2,Low,Feb
6.0,1862.0,1850.0,3712.0,0.6630711836925381,2025-02-10,2026-02-09,Feb,3712.0,3898.0,4083.0,4.499230769230769,26.466063348416284,0.06697071531445031,0.08228553238898588,7.5,Low,Feb
7.0,2255.0,2232.0,4487.0,0.8015087287792075,2025-02-17,2026-02-16,Feb,4487.0,4711.0,4936.0,5.397692307692308,31.751131221719458,0.2530004800768123,0.2681839885405061,26.1,Moderate,Feb
8.0,2034.0,1942.0,3976.0,0.7102292635672229,2025-02-24,2026-02-23,Feb,3976.0,4175.0,4374.0,4.740769230769231,27.886877828054295,0.13034085453672586,0.13226165844341856,13.1,Low,Feb
9.0,2202.0,2130.0,4332.0,0.7738212197618737,2025-03-03,2026-03-02,Mar,4332.0,4549.0,4765.0,5.14076923076923,30.239819004524882,0.21579452712433989,0.21502466974375278,21.5,Low,Mar
10.0,2375.0,2351.0,4726.0,0.8442010813930321,2025-03-10,2026-03-09,Mar,4726.0,4962.0,5199.0,5.633076923076922,33.135746606334834,0.3103696591454633,0.3168868374980102,31.4,Moderate,Mar
11.0,3041.0,2988.0,6029.0,1.0769547862290711,2025-03-17,2026-03-16,Mar,6029.0,6330.0,6632.0,7.26076923076923,42.710407239819006,0.6231397023523764,0.6536686296355245,63.8,High,Mar
12.0,2549.0,2537.0,5086.0,0.9085075539494205,2025-03-24,2026-03-23,Mar,5086.0,5340.0,5595.0,6.090000000000001,35.82352941176471,0.39678348535765723,0.4114276619449309,40.4,Moderate,Mar
13.0,2636.0,2706.0,5342.0,0.95423660110063,2025-03-31,2026-03-30,Mar,5342.0,5609.0,5876.0,6.312307692307693,37.13122171945702,0.45823331733077294,0.45742479707146283,45.8,High,Mar
14.0,2686.0,2699.0,5385.0,0.9619176519893098,2025-04-07,2026-04-06,Apr,5385.0,5654.0,5924.0,6.446923076923077,37.92307692307692,0.4685549687950072,0.4852777335667674,47.7,High,Apr
15.0,3139.0,3071.0,6210.0,1.1092866515976998,2025-04-14,2026-04-13,Apr,6210.0,6520.0,6831.0,7.43,43.705882352941174,0.6665866538646184,0.6886837498010505,67.8,High,Apr
16.0,2965.0,2868.0,5833.0,1.0419434845039264,2025-04-21,2026-04-20,Apr,5833.0,6125.0,6416.0,6.972307692307692,41.01357466063348,0.5760921747479597,0.5939837657170141,58.5,High,Apr
17.0,2736.0,2760.0,5496.0,0.9817454810275295,2025-04-28,2026-04-27,Apr,5496.0,5771.0,6046.0,6.564615384615385,38.61538461538462,0.49519923187710035,0.5096291580455199,50.2,High,Apr
18.0,2899.0,2948.0,5847.0,1.044444291770008,2025-05-05,2026-05-04,May,5847.0,6139.0,6432.0,7.01076923076923,41.23981900452488,0.5794527124339894,0.6019417475728155,59.1,High,May
19.0,2756.0,2866.0,5622.0,1.0042527464222655,2025-05-12,2026-05-11,May,5622.0,5903.0,6184.0,6.7530769230769225,39.723981900452486,0.5254440710513683,0.5486232691389463,53.7,High,May
20.0,2906.0,2921.0,5827.0,1.0408717099613198,2025-05-19,2026-05-18,May,5827.0,6118.0,6410.0,6.840000000000001,40.235294117647065,0.5746519443110898,0.5666083081330577,57.1,High,May
21.0,2850.0,2909.0,5759.0,1.02872493181178,2025-05-26,2026-05-25,May,5759.0,6047.0,6335.0,6.928461538461539,40.755656108597286,0.5583293326932309,0.5849116664014007,57.2,High,May
22.0,3047.0,3102.0,6149.0,1.0983902770812006,2025-06-02,2026-06-01,Jun,6149.0,6456.0,6764.0,7.25,42.64705882352941,0.6519443110897744,0.6514403947159002,65.2,High,Jun
23.0,3180.0,3116.0,6296.0,1.1246487533750593,2025-06-09,2026-06-08,Jun,6296.0,6611.0,6926.0,7.544615384615384,44.380090497737555,0.6872299567930868,0.7123985357313386,70.0,Critical,Jun
24.0,3325.0,3333.0,6658.0,1.1893124841123164,2025-06-16,2026-06-15,Jun,6658.0,6991.0,7324.0,7.87,46.294117647058826,0.7741238598175708,0.7797230622314183,77.7,Critical,Jun
25.0,3440.0,3389.0,6829.0,1.219858058576601,2025-06-23,2026-06-22,Jun,6829.0,7170.0,7512.0,8.185384615384615,48.14932126696833,0.815170427268363,0.8449785134489896,83.0,Critical,Jun
26.0,3528.0,3570.0,7098.0,1.2679092839034578,2025-06-30,2026-06-29,Jun,7098.0,7453.0,7808.0,8.283846153846154,48.72850678733032,0.8797407585213635,0.865350946999841,87.3,Critical,Jun
27.0,3587.0,3567.0,7154.0,1.2779125129677849,2025-07-07,2026-07-06,Jul,7154.0,7512.0,7869.0,8.577692307692306,50.45701357466063,0.8931829092654825,0.9261499283781632,91.0,Critical,Jul
28.0,3665.0,3650.0,7315.0,1.3066717965277252,2025-07-14,2026-07-13,Jul,7315.0,7681.0,8047.0,8.753846153846155,51.49321266968327,0.9318290926548247,0.962597485277734,94.7,Critical,Jul
29.0,3769.0,3784.0,7553.0,1.3491855200511154,2025-07-21,2026-07-20,Jul,7553.0,7931.0,8308.0,8.910769230769231,52.416289592760194,0.9889582333173308,0.9950660512494038,99.2,Critical,Jul
30.0,3684.0,3739.0,7423.0,1.3259637382946419,2025-07-28,2026-07-27,Jul,7423.0,7794.0,8165.0,8.78153846153846,51.656108597285055,0.957753240518483,0.9683272322139103,96.3,Critical,Jul
31.0,3760.0,3677.0,7437.0,1.3284645455607236,2025-08-04,2026-08-03,Aug,7437.0,7809.0,8181.0,8.806153846153846,51.80090497737556,0.9611137782045127,0.9734203406016234,96.7,Critical,Aug
32.0,3602.0,3643.0,7245.0,1.2941677601973165,2025-08-11,2026-08-10,Aug,7245.0,7607.0,7970.0,8.78153846153846,51.656108597285055,0.915026404224676,0.9683272322139103,94.2,Critical,Aug
33.0,3826.0,3773.0,7599.0,1.3574024582110984,2025-08-18,2026-08-17,Aug,7599.0,7979.0,8359.0,8.934615384615384,52.556561085972845,1.0,1.0,100.0,Critical,Aug
34.0,3729.0,3787.0,7516.0,1.3425762437050421,2025-08-25,2026-08-24,Aug,7516.0,7892.0,8268.0,8.909230769230769,52.40723981900452,0.9800768122899663,0.9947477319751712,98.7,Critical,Aug
35.0,3661.0,3628.0,7289.0,1.3020274401764307,2025-09-01,2026-08-31,Aug,7289.0,7653.0,8018.0,8.563076923076924,50.371040723981906,0.9255880940950552,0.9231258952729592,92.4,Critical,Aug
36.0,3226.0,3201.0,6427.0,1.1480491642219672,2025-09-08,2026-09-07,Sep,6427.0,6748.0,7070.0,7.6,44.705882352941174,0.7186749879980797,0.7238580296036925,72.1,Critical,Sep
37.0,3082.0,3146.0,6228.0,1.1125019752255192,2025-09-15,2026-09-14,Sep,6228.0,6539.0,6851.0,7.403076923076923,43.54751131221719,0.670907345175228,0.6831131625019894,67.7,High,Sep
38.0,3004.0,3057.0,6061.0,1.0826709171229725,2025-09-22,2026-09-21,Sep,6061.0,6364.0,6667.0,7.216923076923077,42.45248868778281,0.6308209313490158,0.6445965303199112,63.8,High,Sep
39.0,2992.0,2990.0,5982.0,1.068559218978654,2025-09-29,2026-09-28,Sep,5982.0,6281.0,6580.0,7.127692307692308,41.92760180995475,0.6118578972635622,0.6261340124144518,61.9,High,Sep
