Week_In_Year,dep,arr,total,seasonal_index,week_start_2025,week_start_2026,month_2026,fc_flat,fc_mod,fc_strong
1.0,1722.0,1711.0,3433.0,0.6132336674613371,2025-01-06,2026-01-05,Jan,3433.0,3605.0,3776.0
2.0,1756.0,1773.0,3529.0,0.6303820601430407,2025-01-13,2026-01-12,Jan,3529.0,3705.0,3882.0
3.0,1796.0,1796.0,3592.0,0.6416356928404087,2025-01-20,2026-01-19,Jan,3592.0,3772.0,3951.0
4.0,1823.0,1835.0,3658.0,0.6534252128090798,2025-01-27,2026-01-26,Jan,3658.0,3841.0,4024.0
5.0,1875.0,1886.0,3761.0,0.6718240091238243,2025-02-03,2026-02-02,Feb,3761.0,3949.0,4137.0
6.0,1862.0,1850.0,3712.0,0.6630711836925381,2025-02-10,2026-02-09,Feb,3712.0,3898.0,4083.0
7.0,2255.0,2232.0,4487.0,0.8015087287792075,2025-02-17,2026-02-16,Feb,4487.0,4711.0,4936.0
8.0,2034.0,1942.0,3976.0,0.7102292635672229,2025-02-24,2026-02-23,Feb,3976.0,4175.0,4374.0
9.0,2202.0,2130.0,4332.0,0.7738212197618737,2025-03-03,2026-03-02,Mar,4332.0,4549.0,4765.0
10.0,2375.0,2351.0,4726.0,0.8442010813930321,2025-03-10,2026-03-09,Mar,4726.0,4962.0,5199.0
11.0,3041.0,2988.0,6029.0,1.0769547862290711,2025-03-17,2026-03-16,Mar,6029.0,6330.0,6632.0
12.0,2549.0,2537.0,5086.0,0.9085075539494205,2025-03-24,2026-03-23,Mar,5086.0,5340.0,5595.0
13.0,2636.0,2706.0,5342.0,0.95423660110063,2025-03-31,2026-03-30,Mar,5342.0,5609.0,5876.0
14.0,2686.0,2699.0,5385.0,0.9619176519893098,2025-04-07,2026-04-06,Apr,5385.0,5654.0,5924.0
15.0,3139.0,3071.0,6210.0,1.1092866515976998,2025-04-14,2026-04-13,Apr,6210.0,6520.0,6831.0
16.0,2965.0,2868.0,5833.0,1.0419434845039264,2025-04-21,2026-04-20,Apr,5833.0,6125.0,6416.0
17.0,2736.0,2760.0,5496.0,0.9817454810275295,2025-04-28,2026-04-27,Apr,5496.0,5771.0,6046.0
18.0,2899.0,2948.0,5847.0,1.044444291770008,2025-05-05,2026-05-04,May,5847.0,6139.0,6432.0
19.0,2756.0,2866.0,5622.0,1.0042527464222655,2025-05-12,2026-05-11,May,5622.0,5903.0,6184.0
20.0,2906.0,2921.0,5827.0,1.0408717099613198,2025-05-19,2026-05-18,May,5827.0,6118.0,6410.0
21.0,2850.0,2909.0,5759.0,1.02872493181178,2025-05-26,2026-05-25,May,5759.0,6047.0,6335.0
22.0,3047.0,3102.0,6149.0,1.0983902770812006,2025-06-02,2026-06-01,Jun,6149.0,6456.0,6764.0
23.0,3180.0,3116.0,6296.0,1.1246487533750593,2025-06-09,2026-06-08,Jun,6296.0,6611.0,6926.0
24.0,3325.0,3333.0,6658.0,1.1893124841123164,2025-06-16,2026-06-15,Jun,6658.0,6991.0,7324.0
25.0,3440.0,3389.0,6829.0,1.219858058576601,2025-06-23,2026-06-22,Jun,6829.0,7170.0,7512.0
26.0,3528.0,3570.0,7098.0,1.2679092839034578,2025-06-30,2026-06-29,Jun,7098.0,7453.0,7808.0
27.0,3587.0,3567.0,7154.0,1.2779125129677849,2025-07-07,2026-07-06,Jul,7154.0,7512.0,7869.0
28.0,3665.0,3650.0,7315.0,1.3066717965277252,2025-07-14,2026-07-13,Jul,7315.0,7681.0,8047.0
29.0,3769.0,3784.0,7553.0,1.3491855200511154,2025-07-21,2026-07-20,Jul,7553.0,7931.0,8308.0
30.0,3684.0,3739.0,7423.0,1.3259637382946419,2025-07-28,2026-07-27,Jul,7423.0,7794.0,8165.0
31.0,3760.0,3677.0,7437.0,1.3284645455607236,2025-08-04,2026-08-03,Aug,7437.0,7809.0,8181.0
32.0,3602.0,3643.0,7245.0,1.2941677601973165,2025-08-11,2026-08-10,Aug,7245.0,7607.0,7970.0
33.0,3826.0,3773.0,7599.0,1.3574024582110984,2025-08-18,2026-08-17,Aug,7599.0,7979.0,8359.0
34.0,3729.0,3787.0,7516.0,1.3425762437050421,2025-08-25,2026-08-24,Aug,7516.0,7892.0,8268.0
35.0,3661.0,3628.0,7289.0,1.3020274401764307,2025-09-01,2026-08-31,Aug,7289.0,7653.0,8018.0
36.0,3226.0,3201.0,6427.0,1.1480491642219672,2025-09-08,2026-09-07,Sep,6427.0,6748.0,7070.0
37.0,3082.0,3146.0,6228.0,1.1125019752255192,2025-09-15,2026-09-14,Sep,6228.0,6539.0,6851.0
38.0,3004.0,3057.0,6061.0,1.0826709171229725,2025-09-22,2026-09-21,Sep,6061.0,6364.0,6667.0
39.0,2992.0,2990.0,5982.0,1.068559218978654,2025-09-29,2026-09-28,Sep,5982.0,6281.0,6580.0
40.0,2677.0,2704.0,5381.0,0.9612031356275721,2025-10-06,2026-10-05,Oct,5381.0,5650.0,5919.0
41.0,2590.0,2602.0,5192.0,0.9274422375354682,2025-10-13,2026-10-12,Oct,5192.0,5452.0,5711.0
42.0,2878.0,2972.0,5850.0,1.0449801790413114,2025-10-20,2026-10-19,Oct,5850.0,6142.0,6435.0
43.0,2793.0,2880.0,5673.0,1.0133628300344204,2025-10-27,2026-10-26,Oct,5673.0,5957.0,6240.0
44.0,2085.0,2106.0,4191.0,0.7486345180106215,2025-11-03,2026-11-02,Nov,4191.0,4401.0,4610.0
45.0,1965.0,1977.0,3942.0,0.704155874492453,2025-11-10,2026-11-09,Nov,3942.0,4139.0,4336.0
46.0,1997.0,2026.0,4023.0,0.7186248308176403,2025-11-17,2026-11-16,Nov,4023.0,4224.0,4425.0
47.0,2063.0,2129.0,4192.0,0.748813147101056,2025-11-24,2026-11-23,Nov,4192.0,4402.0,4611.0
48.0,2241.0,2240.0,4481.0,0.8004369542366011,2025-12-01,2026-11-30,Nov,4481.0,4705.0,4929.0
49.0,2380.0,2372.0,4752.0,0.8488454377443269,2025-12-08,2026-12-07,Dec,4752.0,4990.0,5227.0
50.0,3252.0,3238.0,6490.0,1.1593027969193352,2025-12-15,2026-12-14,Dec,6490.0,6814.0,7139.0
51.0,3259.0,3223.0,6482.0,1.1578737641958599,2025-12-22,2026-12-21,Dec,6482.0,6806.0,7130.0
52.0,2265.0,2291.0,4556.0,0.813834136019182,2025-12-29,2026-12-28,Dec,4556.0,4784.0,5012.0
